Nr.,Jogador,Min,AS,BR,TO,FC,FR,ER,EN,Pts_C,Pts_T,3_Pts_C,3_Pts_T,2_Pts_C,2_Pts_T,LL_Pts_C,LL_Pts_T,RO,RD,RT
#26,Betinho,33.3,3,1,0,4.0,8.0,3,0,24,40,4,7,3,6,6,7,2,1,3
#14,Dawkins,36.3,9,3,0,4.0,2.0,1,0,18,29,5,7,0,2,3,4,3,0,3
#33,C. Torres,21.9,1,1,0,4.0,4.0,0,0,14,23,3,4,2,3,1,5,1,0,1
#13,Toledo,29.1,2,2,0,3.0,5.0,3,0,10,18,0,0,4,7,2,2,5,4,9
#3,Bennett,34.0,5,0,0,2.0,0.0,0,0,10,27,0,3,5,9,0,0,2,0,2
#50,Ware,18.8,2,0,0,3.0,0.0,0,0,7,12,1,2,2,3,0,0,5,0,5
#23,L. Cauê,9.8,0,0,0,2.0,4.0,0,0,7,10,0,0,2,2,3,6,1,0,1
#6,Scaglia,12.2,1,0,0,1.0,1.0,1,0,2,8,0,2,1,1,0,0,0,1,1
#9,Buffat,4.6,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
#7,Isaac,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#2,G. Campos,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#12,D. Souza,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,23,7,0,23.0,24.0,9,0,92,167,13,25,19,33,15,24,21,6,27
#36,Arthur,38.2,6,3,0,3.0,3.0,1,0,24,35,4,7,3,4,6,6,5,0,5
#28,Lucas,28.3,2,0,0,5.0,6.0,1,1,23,38,3,5,5,8,4,7,3,1,4
#10,Coelho,34.0,8,1,0,2.0,4.0,3,0,19,27,3,5,2,3,6,6,2,0,2
#5,Jamaal,29.2,8,0,0,4.0,6.0,1,0,11,23,3,7,1,1,0,0,2,0,2
#15,Diego,13.6,1,0,0,2.0,1.0,0,0,7,7,1,1,1,1,2,2,3,0,3
#9,Paulinho,13.7,1,0,0,3.0,1.0,3,0,5,8,1,2,0,0,2,2,1,1,2
#17,Du Sommer,22.7,2,1,0,3.0,1.0,2,1,4,10,0,2,2,2,0,0,6,0,6
#3,Mogi,13.9,1,0,0,0.0,1.0,0,0,3,11,1,3,0,0,0,2,2,0,2
#35,Freddie,4.2,0,0,0,2.0,0.0,0,1,2,8,0,2,1,1,0,0,1,0,1
#13,Jackson,0.1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4,Cauê,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
#21,Wesley,2.2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equipe,Equipe,0.0,29,5,0,24.0,23.0,11,3,98,167,16,34,15,20,20,25,26,2,28
