,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Jefferson,30.2,21,7,27,9,5,7,2,2,2,2,0,6,6,2,2,0,1,0,0,0,10
1,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Duda,23.5,18,8,27,11,2,4,6,7,0,1,0,0,0,5,2,0,2,0,3,1,14
2,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Marcelinho,23.0,15,5,19,7,3,3,2,4,2,2,0,3,3,3,0,0,1,0,0,0,8
3,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Hélio,27.9,12,5,27,11,1,3,4,8,1,2,2,6,8,5,1,0,0,0,3,0,13
4,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Fred,16.5,11,2,18,3,1,2,1,1,6,10,0,1,1,3,0,0,0,0,2,0,9
5,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Wagner,15.2,9,2,13,3,0,0,2,3,5,7,1,3,4,1,0,0,3,0,0,0,5
6,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Fernando,17.0,9,2,22,7,2,4,0,3,3,4,0,2,2,1,2,0,2,0,0,0,9
7,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Babby,14.4,5,2,13,5,1,1,1,4,0,2,2,4,6,1,0,0,2,0,1,0,5
8,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Daniel,9.7,4,1,14,4,1,4,0,0,1,2,2,3,5,0,0,0,0,0,0,0,3
9,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Coloneze,9.1,3,1,3,1,0,0,1,1,1,1,0,2,2,1,0,0,0,0,2,0,3
10,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Alírio,11.2,2,1,7,3,0,1,1,2,0,0,0,0,0,1,0,0,4,0,1,0,4
11,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Ian,2.4,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,2008,Flamengo,Joinville,30/05/2009 21:30,3ª RODADA,SEMI,casa,vitória,15,Equipe,200.0,109,36,193,65,16,30,20,35,21,33,7,30,37,24,7,0,15,0,12,1,83
0,2008,Joinville,Flamengo,30/05/2009 21:30,3ª RODADA,SEMI,fora,derrota,-15,André,38.5,27,9,45,15,9,15,0,0,0,0,0,3,3,7,1,1,3,0,1,0,16
1,2008,Joinville,Flamengo,30/05/2009 21:30,3ª RODADA,SEMI,fora,derrota,-15,A. Williams,30.2,20,7,33,13,2,3,5,10,4,4,1,3,4,5,2,0,4,0,1,0,15
2,2008,Joinville,Flamengo,30/05/2009 21:30,3ª RODADA,SEMI,fora,derrota,-15,Tiagão,34.4,18,7,30,12,2,4,5,8,2,2,3,4,7,0,1,0,2,0,2,1,12
3,2008,Joinville,Flamengo,30/05/2009 21:30,3ª RODADA,SEMI,fora,derrota,-15,Espiga,21.6,10,2,37,11,2,11,0,0,4,4,0,1,1,2,1,0,2,0,0,0,13
