,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Olivinha,38.7,20,7,62,24,1,9,6,15,5,5,4,8,12,4,3,1,2,4,2,1,24
1,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Morro,40.0,16,8,26,13,0,0,8,13,0,0,4,3,7,3,0,0,3,2,0,4,9
2,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Shamell,40.0,16,6,34,12,4,8,2,4,0,2,0,3,3,5,2,0,0,1,2,0,15
3,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Diego,35.1,14,6,23,10,1,1,5,9,1,2,2,5,7,2,2,2,2,1,3,1,12
4,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Gustavinho,16.0,7,3,10,4,1,2,2,2,0,0,0,2,2,2,0,0,2,2,0,0,4
5,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Thiaguinho,30.1,5,2,16,7,1,2,1,5,0,0,0,2,2,2,0,0,0,1,1,0,8
6,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Josuel,0.1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,2009,Pinheiros,Minas,08/11/2009 11:00,2ª RODADA,1º TURNO,casa,vitória,8,Equipe,200.0,78,32,173,71,8,22,24,49,6,9,10,23,33,18,7,3,9,11,8,6,73
0,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Drudi,37.3,20,10,39,19,0,0,10,19,0,1,5,3,8,1,0,0,2,2,3,0,17
1,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Smith,16.8,14,5,31,11,4,9,1,2,0,0,0,1,1,0,1,0,0,0,1,0,12
2,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Jeffries,38.2,11,4,26,10,0,2,4,8,3,4,2,3,5,3,0,1,1,2,1,1,11
3,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Sucatzky,35.2,10,5,22,9,0,4,5,5,0,0,0,6,6,8,1,0,0,1,4,0,13
4,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Leandro Silva,14.7,7,2,8,2,0,0,2,2,3,4,2,2,4,1,0,0,2,2,0,0,2
5,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Luiz Felipe,26.6,4,2,15,6,0,3,2,3,0,0,0,0,0,2,0,0,0,1,1,0,7
6,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Hubner,10.0,2,1,8,4,0,0,1,4,0,0,1,4,5,0,0,0,0,0,0,0,3
7,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Murilo,17.8,2,1,10,5,0,0,1,5,0,0,2,6,8,0,0,1,4,1,3,0,6
8,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Raulzinho,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Perez,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2009,Minas,Pinheiros,08/11/2009 11:00,2ª RODADA,1º TURNO,fora,derrota,-8,Equipe,200.0,70,30,159,66,4,18,26,48,6,9,12,25,37,15,2,2,11,9,13,1,71
