,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,André,38.6,18,7,32,12,2,6,5,6,2,2,0,3,3,1,3,1,2,1,3,0,16
1,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Audrei,36.7,14,4,35,12,1,6,3,6,5,5,1,3,4,1,0,0,3,3,1,0,14
2,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Espiga,27.3,13,5,37,13,3,9,2,4,0,2,0,2,2,1,1,0,4,3,4,0,18
3,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,J. Sobral,23.7,8,3,22,8,2,6,1,2,0,0,1,6,7,2,0,0,2,4,3,0,10
4,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Shilton,27.8,5,2,10,3,0,0,2,3,1,4,5,5,10,2,0,1,3,3,0,1,0
5,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,V. Bristott,9.5,3,1,12,5,1,2,0,3,0,0,0,1,1,1,3,0,1,0,1,0,6
6,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,André Goes,9.1,2,1,8,4,0,0,1,4,0,0,0,3,3,2,1,0,0,0,0,0,4
7,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Marcão,10.3,2,1,6,3,0,0,1,3,0,0,1,1,2,0,0,1,1,0,1,0,3
8,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Tiagão,17.1,0,0,7,3,0,1,0,2,0,0,2,5,7,0,1,0,2,2,1,0,2
9,2009,Joinville,Bauru,21/03/2010 11:00,24ª RODADA,2º TURNO,casa,vitória,4,Equipe,200.0,65,24,169,63,9,30,15,33,8,13,10,29,39,10,9,3,18,16,14,1,72
0,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Renato,29.1,13,3,23,7,1,3,2,4,6,6,0,2,2,0,1,0,3,4,1,1,10
1,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Larry Taylor,40.0,12,5,48,20,2,8,3,12,0,0,1,5,6,2,3,0,1,2,0,0,19
2,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Ricardo,34.5,12,4,37,14,2,5,2,9,2,4,3,3,6,1,2,1,4,4,0,0,13
3,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,F. Fischer,29.9,10,2,23,7,1,2,1,5,5,7,0,0,0,0,1,0,0,3,4,0,14
4,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Eddy,31.2,8,4,17,8,0,1,4,7,0,0,1,1,2,2,1,1,4,2,1,0,8
5,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Gui Deodato,2.8,3,1,3,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1
6,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Gaspar,14.0,2,1,2,1,0,0,1,1,0,0,0,4,4,0,1,0,1,0,0,0,1
7,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Eric,18.6,1,0,8,2,0,2,0,0,1,2,0,2,2,0,1,1,2,1,1,0,4
8,2009,Bauru,Joinville,21/03/2010 11:00,24ª RODADA,2º TURNO,fora,derrota,-4,Equipe,200.0,61,20,161,60,6,21,14,39,15,20,5,17,22,5,11,3,16,17,7,1,70
