,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Luisinho,36.8,25,7,36,11,1,3,6,8,10,11,1,0,1,5,1,0,0,4,0,0,14
1,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,J. Sobral,28.5,13,4,19,6,0,1,4,5,5,6,1,3,4,2,2,1,5,5,3,0,10
2,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Chico,33.4,12,4,24,8,2,4,2,4,2,4,2,4,6,1,0,4,4,2,2,0,10
3,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Deivisson,21.3,12,4,14,5,0,0,4,5,4,4,1,3,4,1,0,0,3,2,3,0,9
4,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Fernando,20.7,10,4,16,6,0,1,4,5,2,3,1,6,7,1,1,3,2,2,1,0,7
5,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Neto,19.6,8,2,15,4,1,3,1,1,3,4,0,0,0,2,0,0,2,2,1,0,7
6,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Mark Borders,22.6,5,2,15,6,1,3,1,3,0,0,0,1,1,4,0,0,0,1,2,0,8
7,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Daniel Filé,4.7,2,1,2,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,1,0,2
8,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Gaúcho,9.3,0,0,7,3,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,4
9,2010,Araraquara,Sesi Franca,18/03/2011 20:00,26ª RODADA,2º TURNO,casa,vitória,2,Equipe,197.0,87,28,148,50,5,16,23,34,26,32,6,18,24,16,5,8,19,18,14,0,71
0,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Benite,37.1,27,9,33,11,3,4,6,7,6,7,1,2,3,4,0,0,2,6,1,0,14
1,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Lewis,22.1,13,6,26,12,0,0,6,12,1,2,2,3,5,0,0,0,1,2,0,1,11
2,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Márcio,35.3,13,4,33,12,0,3,4,9,5,6,1,3,4,1,4,0,3,5,1,1,14
3,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Helinho,36.6,11,4,16,6,3,4,1,2,0,0,0,2,2,6,2,0,3,1,3,0,9
4,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Spillers,11.5,8,3,10,4,0,0,3,4,2,2,2,1,3,1,0,0,3,1,0,0,3
5,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Ricardo Probst,19.0,6,2,10,4,0,0,2,4,2,2,2,3,5,1,1,0,2,2,1,0,4
6,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Dedé,6.0,4,1,4,1,0,0,1,1,2,2,0,0,0,0,0,0,1,1,1,0,3
7,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Rogério,11.3,2,1,4,2,0,0,1,2,0,0,0,0,0,1,1,0,1,0,2,0,4
8,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,F. Penna,6.1,1,0,5,1,0,1,0,0,1,2,0,1,1,2,0,0,1,1,0,0,2
9,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Drudi,14.5,0,0,6,3,0,0,0,3,0,0,0,2,2,0,1,0,3,0,2,0,5
10,2010,Sesi Franca,Araraquara,18/03/2011 20:00,26ª RODADA,2º TURNO,fora,derrota,-2,Equipe,200.0,85,30,147,56,6,12,24,44,19,23,8,17,25,16,9,0,20,19,11,2,68
