,0
0,https://lnb.com.br/noticias/a-bola-e-dele/
1,https://lnb.com.br/noticias/cabeca-erguida-2/
2,https://lnb.com.br/noticias/de-olho-na-lideranca-2/
3,https://lnb.com.br/noticias/engrenados/
4,https://lnb.com.br/noticias/superacao-2/
5,https://lnb.com.br/noticias/entrou-na-briga/
6,https://lnb.com.br/noticias/virou/
7,https://lnb.com.br/noticias/que-vitoria/
8,https://lnb.com.br/noticias/o-capitao-cearense/
9,https://lnb.com.br/noticias/impressionante-2/
10,https://lnb.com.br/noticias/para-comemorar-muito/
11,https://lnb.com.br/noticias/tranquilo/
12,https://lnb.com.br/noticias/imponente-3/
13,https://lnb.com.br/noticias/de-volta-aos-trilhos/
14,https://lnb.com.br/noticias/nota-dez/
15,https://lnb.com.br/noticias/com-a-alma-e-o-coracao/
16,https://lnb.com.br/noticias/vacilou-virou/
17,https://lnb.com.br/noticias/imparavel/
18,https://lnb.com.br/noticias/h-de-heroi-2/
19,https://lnb.com.br/noticias/crescendo-na-competicao/
20,https://lnb.com.br/noticias/deslanchou/
21,https://lnb.com.br/noticias/por-cima/
22,https://lnb.com.br/noticias/sem-problemas/
23,https://lnb.com.br/noticias/de-tirar-o-folego-2/
24,https://lnb.com.br/noticias/na-mira-dos-playoffs/
25,https://lnb.com.br/noticias/heroico/
26,https://lnb.com.br/noticias/sai-dessa/
27,https://lnb.com.br/noticias/superacao-3/
28,https://lnb.com.br/noticias/12%c2%aa-seguida/
29,https://lnb.com.br/noticias/sem-crise/
30,https://lnb.com.br/noticias/quase-iguais/
31,https://lnb.com.br/noticias/fulminante/
32,https://lnb.com.br/noticias/impondo-respeito/
33,https://lnb.com.br/noticias/comandante-candango/
34,https://lnb.com.br/noticias/na-luta/
35,https://lnb.com.br/noticias/forca-2/
36,https://lnb.com.br/noticias/ultrapassage/
37,https://lnb.com.br/noticias/elastico/
38,https://lnb.com.br/noticias/cada-vez-mais-dentro/
39,https://lnb.com.br/noticias/de-volta-aos-trilhos-2/
40,https://lnb.com.br/noticias/brio-joseense/
41,https://lnb.com.br/noticias/na-briga-3/
42,https://lnb.com.br/noticias/falta-so-mais-uma/
43,https://lnb.com.br/noticias/eles-chegaram/
44,https://lnb.com.br/noticias/personalidade/
45,https://lnb.com.br/noticias/avassalador-2/
46,https://lnb.com.br/noticias/trinca-2/
47,https://lnb.com.br/noticias/posto-mantido/
48,https://lnb.com.br/noticias/bem-perto/
49,https://lnb.com.br/noticias/ninguem-para-2/
50,https://lnb.com.br/noticias/o-dia-deles/
51,https://lnb.com.br/noticias/eles-estao-de-volta/
52,https://lnb.com.br/noticias/embalado-2/
53,https://lnb.com.br/noticias/g-4-e-logo-ali/
54,https://lnb.com.br/noticias/sem-abaixar-a-cabeca/
55,https://lnb.com.br/noticias/um-monstro/
56,https://lnb.com.br/noticias/a-sexta-do-palestra/
57,https://lnb.com.br/noticias/confirmados/
58,https://lnb.com.br/noticias/on-fire-3/
59,https://lnb.com.br/noticias/ainda-nos-planos/
60,https://lnb.com.br/noticias/vitoria-decisiva/
61,https://lnb.com.br/noticias/festa-no-palestra/
62,https://lnb.com.br/noticias/soberano/
63,https://lnb.com.br/noticias/tranquilo-2/
64,https://lnb.com.br/noticias/sai-que-e-meu/
65,https://lnb.com.br/noticias/carrascos/
66,https://lnb.com.br/noticias/de-volta/
67,https://lnb.com.br/noticias/fundamental/
68,https://lnb.com.br/noticias/vitoria-maiuscula-2/
69,https://lnb.com.br/noticias/isolado-de-novo/
70,https://lnb.com.br/noticias/superacao-4/
71,https://lnb.com.br/noticias/essencial/
72,https://lnb.com.br/noticias/embalado-3/
73,https://lnb.com.br/noticias/luz-no-fim-do-tunel/
74,https://lnb.com.br/noticias/aprovada/
75,https://lnb.com.br/noticias/recheado/
76,https://lnb.com.br/noticias/noite-magica/
77,https://lnb.com.br/noticias/sem-relaxar/
78,https://lnb.com.br/noticias/lider-na-raca/
79,https://lnb.com.br/noticias/elite/
80,https://lnb.com.br/noticias/roubaram-a-cena/
81,https://lnb.com.br/noticias/dentro-2/
82,https://lnb.com.br/noticias/oito-vezes/
83,https://lnb.com.br/noticias/colados-2/
84,https://lnb.com.br/noticias/quase-la-3/
85,https://lnb.com.br/noticias/em-ritmo-de-g4/
86,https://lnb.com.br/noticias/dever-cumprido-2/
87,https://lnb.com.br/noticias/firme-e-forte-2/
88,https://lnb.com.br/noticias/com-chave-de-ouro/
89,https://lnb.com.br/noticias/sem-jogar-a-toalha/
90,https://lnb.com.br/noticias/ainda-subindo-2/
91,https://lnb.com.br/noticias/que-vitoria-2/
92,https://lnb.com.br/noticias/um-passo-a-frente/
93,https://lnb.com.br/noticias/nas-maos/
94,https://lnb.com.br/noticias/do-comeco-ao-fim-3/
95,https://lnb.com.br/noticias/destruidor/
96,https://lnb.com.br/noticias/show-de-day-e-vaga-no-g-4/
97,https://lnb.com.br/noticias/que-venham-as-finais/
98,https://lnb.com.br/noticias/vida-que-continua/
99,https://lnb.com.br/noticias/ainda-sonhando/
100,https://lnb.com.br/noticias/ao-melhor-estilo-mineiro/
101,https://lnb.com.br/noticias/pronto-para-as-finais/
102,https://lnb.com.br/noticias/em-grande-estilo-4/
103,https://lnb.com.br/noticias/em-ritmo-de-playoffs/
104,https://lnb.com.br/noticias/passo-gigante/
105,https://lnb.com.br/noticias/minas-na-frente/
106,https://lnb.com.br/noticias/faixa-carimbada-2/
107,https://lnb.com.br/noticias/muito-perto/
108,https://lnb.com.br/noticias/tudo-igual-3/
109,https://lnb.com.br/noticias/que-virada/
