,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Gui Deodato,24.6,16,6,34,13,2,4,4,9,2,4,0,2,2,6,4,0,1,2,3,0,18
1,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Fischer,25.8,15,6,18,7,3,4,3,3,0,0,0,0,0,3,4,0,1,1,1,0,8
2,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Sidão,15.3,9,3,13,5,0,0,3,5,3,3,0,5,5,0,0,1,3,4,0,0,6
3,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Mosso,10.3,9,2,15,4,1,3,1,1,4,4,1,3,4,0,1,0,1,2,1,0,6
4,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Pilar,22.0,9,3,23,9,1,3,2,6,2,2,1,2,3,6,0,0,1,2,1,0,10
5,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Coleman,13.2,8,3,14,6,0,0,3,6,2,2,3,0,3,2,1,0,1,1,3,0,7
6,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Jeff,16.6,6,3,6,3,0,0,3,3,0,0,2,4,6,0,0,0,2,2,0,0,1
7,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Lucas,14.6,6,2,12,4,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
8,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Detrick,17.2,5,2,9,4,1,1,1,3,0,0,0,0,0,1,1,0,3,1,0,0,4
9,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Larry Taylor,21.7,2,1,17,7,0,3,1,4,0,0,0,3,3,4,2,0,0,0,0,0,7
10,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Andrezão,11.6,0,0,3,1,0,1,0,0,0,0,3,1,4,0,0,0,1,0,0,0,-2
11,2012,Bauru,Suzano,10/01/2013 20:00,13ª RODADA,1º TURNO,casa,vitória,41,Kesley Araújo,7.4,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
