,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Lucas Mariano,31.2,21,10,33,16,0,0,10,16,1,1,4,5,9,1,0,1,0,0,4,2,16
1,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Figueroa,36.4,19,6,28,9,3,4,3,5,4,6,1,1,2,3,2,0,4,4,1,0,11
2,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Teichmann,31.3,16,6,39,13,3,6,3,7,1,7,1,6,7,4,4,2,4,5,2,1,17
3,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Léo Meindl,34.8,12,4,25,8,2,4,2,4,2,5,2,0,2,2,0,0,5,3,0,0,8
4,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Cauê,21.8,6,2,19,8,0,1,2,7,2,2,0,0,0,1,2,0,3,3,0,0,9
5,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,J. Socas,27.1,4,1,27,10,1,5,0,5,1,2,3,5,8,3,1,0,0,1,0,0,8
6,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Kurtz,8.8,2,1,4,2,0,0,1,2,0,0,0,1,1,0,0,0,2,2,1,0,3
7,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Jerônimo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Zanini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Antonio,4.6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,2
10,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Romário,4.2,0,0,4,2,0,0,0,2,0,0,1,1,2,0,0,1,0,0,1,0,2
11,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Lucas Marciel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Sesi Franca,Bauru,07/02/2013 20:00,22ª RODADA,2º TURNO,casa,derrota,-2,Equipe,200.0,80,30,181,68,9,20,21,48,11,25,12,19,31,14,9,4,20,19,10,3,76
0,2012,Bauru,Sesi Franca,07/02/2013 20:00,22ª RODADA,2º TURNO,fora,vitória,2,Larry Taylor,36.2,20,7,37,14,1,4,6,10,5,5,3,2,5,3,4,1,2,2,3,0,16
1,2012,Bauru,Sesi Franca,07/02/2013 20:00,22ª RODADA,2º TURNO,fora,vitória,2,Fischer,28.2,15,5,20,7,2,2,3,5,3,4,0,2,2,5,0,1,4,4,4,0,13
2,2012,Bauru,Sesi Franca,07/02/2013 20:00,22ª RODADA,2º TURNO,fora,vitória,2,Gui Deodato,37.6,14,5,25,9,4,7,1,2,0,0,0,0,0,2,1,3,4,0,0,0,9
3,2012,Bauru,Sesi Franca,07/02/2013 20:00,22ª RODADA,2º TURNO,fora,vitória,2,Mosso,15.3,10,3,15,5,1,2,2,3,3,3,2,3,5,0,0,0,3,2,0,1,4
