,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Jay Parker,28.9,21,6,52,18,4,11,2,7,5,5,2,1,3,0,2,0,0,3,0,0,18
1,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Casé,21.7,13,4,24,8,0,1,4,7,5,7,1,2,3,3,1,0,4,4,6,2,16
2,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Éder Araújo,33.4,9,2,24,9,0,0,2,9,5,6,2,4,6,1,0,0,3,4,5,1,14
3,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Xande,28.8,8,3,25,9,1,5,2,4,1,2,3,2,5,4,1,0,1,1,4,0,11
4,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Jemmott,21.6,7,2,9,3,0,0,2,3,3,3,1,0,1,0,0,0,0,3,1,0,4
5,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Wellington,18.4,6,3,8,4,0,0,3,4,0,0,1,2,3,0,0,1,4,0,0,2,3
6,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Taets,14.3,0,0,5,2,0,1,0,1,0,0,0,1,1,2,1,0,1,1,4,0,6
7,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Simmons,32.8,0,0,15,7,0,1,0,6,0,0,2,5,7,1,2,0,3,2,5,0,10
8,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Daniel Filé,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Espírito Santo,Sesi Franca,25/03/2013 20:00,31ª RODADA,2º TURNO,casa,derrota,-23,Equipe,200.0,64,20,162,60,5,19,15,41,19,23,15,20,35,11,11,1,16,18,25,5,79
0,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Kurtz,20.0,17,4,26,8,0,0,4,8,9,10,2,3,5,0,3,1,2,6,2,3,12
1,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Lucas Mariano,20.0,14,7,18,9,0,0,7,9,0,0,1,3,4,0,0,1,2,0,1,0,9
2,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Cauê,22.4,13,4,20,7,1,2,3,5,4,4,0,3,3,3,1,0,3,2,1,1,10
3,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Teichmann,21.1,11,5,16,7,0,1,5,6,1,1,0,3,3,1,3,1,2,2,1,1,8
4,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Léo Meindl,26.6,10,4,18,7,1,2,3,5,1,2,0,1,1,0,3,0,1,2,0,2,8
5,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,J. Socas,26.6,6,3,10,4,0,0,3,4,0,2,0,0,0,2,0,0,1,1,4,0,9
6,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Figueroa,16.8,5,2,5,2,1,1,1,1,0,0,0,2,2,4,1,1,2,0,1,0,3
7,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Romário,15.5,4,2,12,6,0,0,2,6,0,0,0,3,3,1,2,0,0,1,1,0,7
8,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Jhonatan,18.4,3,0,7,1,0,1,0,0,3,4,0,5,5,0,0,2,3,2,3,0,6
9,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Jerônimo,3.4,2,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
10,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Zanini,9.3,2,1,4,2,0,0,1,2,0,0,1,0,1,2,0,0,1,0,0,0,1
11,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Lucas Marciel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2012,Sesi Franca,Espírito Santo,25/03/2013 20:00,31ª RODADA,2º TURNO,fora,vitória,23,Equipe,200.0,87,33,138,54,3,7,30,47,18,23,4,25,29,13,20,6,18,16,14,7,73
