,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Robert Day,33.7,31,10,55,19,7,13,3,6,4,4,1,3,4,4,2,0,2,3,3,0,23
1,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,McCants,22.2,20,8,24,10,4,4,4,6,0,0,1,4,5,2,0,0,3,4,0,0,9
2,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Cipolini,26.2,18,8,30,14,2,2,6,12,0,0,1,4,5,1,2,0,4,1,1,2,14
3,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Helinho,25.6,8,3,17,6,2,5,1,1,0,0,1,2,3,7,5,0,4,2,1,0,6
4,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Leonardo,18.9,6,3,10,5,0,0,3,5,0,0,2,3,5,0,0,2,2,1,1,2,4
5,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Valtinho,26.9,5,2,15,6,1,3,1,3,0,0,1,2,3,9,0,0,1,1,0,0,5
6,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Icaro,12.0,5,2,5,2,1,1,1,1,0,0,0,0,0,2,1,0,3,1,1,0,3
7,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Zanini,3.3,3,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
8,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Audrei,26.5,2,1,11,5,0,1,1,4,0,0,0,0,0,1,0,1,1,1,0,0,5
9,2013,Uberlândia,Macaé Basquete,18/01/2014 16:00,18ª RODADA,1º TURNO,casa,vitória,12,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
