,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Taboada,36.8,24,6,61,21,3,10,3,11,9,9,1,2,3,4,2,0,3,5,1,0,25
1,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,F. Penna,27.6,15,4,30,10,3,6,1,4,4,4,1,3,4,4,0,0,3,4,5,0,16
2,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Rafinha,37.7,12,4,29,10,2,7,2,3,2,2,0,4,4,1,1,0,3,4,3,0,14
3,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Coimbra,31.9,11,5,16,6,0,0,5,6,1,4,7,2,9,1,0,1,2,4,5,0,6
4,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Fernando,19.7,5,2,12,5,1,2,1,3,0,0,1,2,3,4,1,0,4,0,3,0,7
5,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Murilo,10.4,3,1,6,2,0,1,1,1,1,1,0,0,0,0,0,0,2,2,2,0,4
6,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Adyb,21.9,2,1,6,3,0,0,1,3,0,0,1,3,4,1,0,0,2,3,1,0,3
7,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Lacerda,5.7,2,1,4,1,0,0,1,1,0,2,1,2,3,0,0,0,0,1,0,0,1
8,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Fábio,7.6,0,0,2,1,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,1
9,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Felippe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Diego,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Raphael,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,Goiânia,Paulistano,08/03/2014 17:00,30ª RODADA,2º TURNO,casa,derrota,-2,Equipe,199.0,74,24,166,59,9,26,15,33,17,22,13,21,34,15,12,1,20,23,20,0,75
0,2013,Paulistano,Goiânia,08/03/2014 17:00,30ª RODADA,2º TURNO,fora,vitória,2,Dawkins,34.0,18,6,31,11,3,5,3,6,3,4,0,4,4,4,2,0,3,5,1,0,14
