,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,D. Nunes,32.5,13,4,27,10,1,3,3,7,4,4,1,6,7,2,0,4,3,1,2,0,13
1,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Laing,31.5,11,5,30,13,0,3,5,10,1,1,1,1,2,0,1,1,2,1,1,1,13
2,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Elinho,38.5,10,3,40,15,1,6,2,9,3,4,1,6,7,8,2,1,0,6,1,0,17
3,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Coelho,20.2,9,3,15,5,0,1,3,4,3,4,0,0,0,1,0,0,5,3,1,0,8
4,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Ansaloni,15.2,8,4,16,8,0,0,4,8,0,0,3,1,4,1,0,0,1,1,2,0,7
5,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Fuzaro,19.8,7,3,12,5,1,2,2,3,0,0,0,2,2,0,0,0,3,0,0,0,5
6,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Wanderson,28.7,2,0,10,3,0,2,0,1,2,2,1,6,7,1,0,0,4,1,0,0,3
7,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Adriano,13.0,2,0,6,2,0,0,0,2,2,2,0,3,3,0,1,0,2,1,1,0,4
8,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Pitico,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,Minas,Brasília,15/03/2014 18:00,32ª RODADA,2º TURNO,casa,derrota,-9,Moisés,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
