,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Caio Torres,30.3,21,8,28,11,0,0,8,11,5,6,3,10,13,3,1,1,2,3,1,0,11
1,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Quezada,39.9,19,6,45,16,3,9,3,7,4,4,1,7,8,8,0,0,3,8,5,0,22
2,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Jefferson,36.7,14,5,28,10,2,6,3,4,2,2,0,7,7,1,2,1,2,2,1,0,12
3,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Laws,37.3,11,3,32,10,1,5,2,5,4,7,0,2,2,9,1,0,2,5,2,0,15
4,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Dedé,32.9,10,3,24,9,2,4,1,5,2,2,2,5,7,0,2,0,2,2,2,0,10
5,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,G. Basílio,7.3,4,2,11,5,0,1,2,4,0,0,2,0,2,0,0,0,3,0,0,0,3
6,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,M. Pajé,3.3,0,0,2,1,0,0,0,1,0,0,1,1,2,0,0,0,1,0,1,0,1
7,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Jerônimo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Victinho,2.6,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
9,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Nelson,9.7,0,0,4,2,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,2
10,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,São José,Pinheiros,29/03/2014 18:00,36ª RODADA,2º TURNO,casa,vitória,9,Equipe,200.0,79,27,176,65,8,25,19,40,17,21,9,34,43,22,8,2,16,20,12,0,76
0,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Mineiro,31.6,21,8,36,14,1,4,7,10,4,4,2,3,5,0,0,2,1,3,2,0,16
1,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Shamell,36.9,19,7,56,21,3,12,4,9,2,2,0,7,7,8,4,0,0,4,2,0,24
2,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Joe Smith,31.0,15,5,41,16,2,6,3,10,3,3,1,5,6,7,1,0,1,4,0,0,16
3,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Lucas Dias,15.6,5,2,5,2,1,1,1,1,0,0,0,0,0,0,1,0,2,1,2,0,4
4,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Babby,11.3,4,2,4,2,0,0,2,2,0,0,0,3,3,0,0,0,2,1,1,0,3
5,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,A. Bambu,8.4,2,1,2,1,0,0,1,1,0,0,0,1,1,0,1,0,2,0,1,0,2
6,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Toyloy,11.5,2,1,6,3,0,0,1,3,0,0,2,2,4,0,0,0,1,1,0,1,1
7,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Humberto,14.7,2,0,15,5,0,3,0,2,2,2,0,3,3,2,1,0,3,1,0,0,6
8,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Bruno Caboclo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Jonathan,14.3,0,0,5,2,0,1,0,1,0,0,0,3,3,0,0,0,3,0,2,0,4
10,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Morro,17.2,0,0,2,1,0,0,0,1,0,0,1,2,3,0,0,1,4,1,0,0,0
11,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Bruno Mortari,7.5,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
12,2013,Pinheiros,São José,29/03/2014 18:00,36ª RODADA,2º TURNO,fora,derrota,-9,Equipe,200.0,70,26,181,70,7,30,19,40,11,11,8,30,38,17,10,3,20,16,10,1,76
