,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Smith,23.5,21,9,33,14,2,4,7,10,1,1,1,2,3,4,1,0,2,6,0,0,13
1,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Torres,20.1,12,6,22,11,0,0,6,11,0,0,2,3,5,0,0,0,4,2,0,0,9
2,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Espinoza,23.2,10,4,24,10,0,2,4,8,2,2,1,8,9,1,0,1,1,3,1,0,11
3,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Márcio,26.5,8,3,13,5,1,2,2,3,1,1,2,1,3,1,0,0,5,3,2,0,5
4,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Fred,23.8,6,2,14,5,0,2,2,3,2,2,1,0,1,1,1,0,1,3,1,0,6
5,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Atílio,7.6,4,2,6,3,0,0,2,3,0,0,0,1,1,0,0,0,0,0,1,0,4
6,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Duda,19.5,4,1,25,9,0,5,1,4,2,2,1,3,4,0,0,0,4,2,3,0,12
7,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Crucillo,3.9,3,1,9,3,1,3,0,0,0,0,0,0,0,0,1,0,4,0,1,0,4
8,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Romário,3.1,0,0,4,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1
9,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Will,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Pablo,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Thiaguinho,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,Macaé Basquete,Paulistano,28/11/2013 19:30,5ª RODADA,1º TURNO,casa,derrota,-12,Equipe,172.0,68,28,150,62,4,18,24,44,8,8,10,19,29,7,5,1,21,19,9,0,64
0,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Holloway,29.1,26,9,35,12,3,5,6,7,5,6,1,5,6,1,1,0,4,5,2,0,15
1,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Dawkins,29.4,20,9,28,12,0,1,9,11,2,3,0,2,2,6,0,0,1,6,1,0,14
2,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Renato,31.5,10,3,21,7,1,3,2,4,3,4,1,3,4,0,1,0,2,2,2,0,10
3,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,César,15.0,9,3,9,3,3,3,0,0,0,0,0,1,1,1,1,0,4,1,2,0,5
4,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Pedro Teruel,12.5,4,1,24,8,1,6,0,2,1,2,1,0,1,0,0,0,1,2,0,0,8
5,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,André,10.1,4,2,15,6,0,3,2,3,0,0,0,0,0,0,1,0,1,1,0,0,6
6,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Gemerson,21.6,4,2,6,3,0,0,2,3,0,0,1,2,3,0,0,0,2,0,0,0,2
7,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Mineiro,23.2,3,1,13,5,0,1,1,4,1,2,0,1,1,0,0,0,4,3,0,0,6
8,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Duso,0.4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Pecos,16.9,0,0,8,3,0,2,0,1,0,0,0,2,2,1,0,0,3,1,0,0,3
10,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Pilar,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,Paulistano,Macaé Basquete,28/11/2013 19:30,5ª RODADA,1º TURNO,fora,vitória,12,Arthur,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
