,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Arnaldinho,30.6,18,6,23,8,1,1,5,7,5,6,3,2,5,0,1,0,1,5,1,0,8
1,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Collins,37.2,10,3,26,8,3,6,0,2,1,4,0,3,3,2,0,0,1,3,1,0,11
2,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Muojeke,25.0,9,2,27,9,1,5,1,4,4,4,0,2,2,0,1,0,1,3,2,1,13
3,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Eddy,37.2,9,3,33,13,0,3,3,10,3,4,6,4,10,2,2,0,1,2,3,0,12
4,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Rashaun,14.5,7,2,24,7,1,4,1,3,2,6,0,1,1,0,0,0,3,3,0,0,9
5,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Gaspar,29.1,4,1,15,5,0,2,1,3,2,3,1,3,4,0,0,0,5,2,1,0,6
6,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Gorauskas,14.8,3,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
7,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Rafael,3.6,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3
8,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Vitor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Luxinger,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Robson,8.1,0,0,10,3,0,2,0,1,0,2,1,0,1,0,0,0,0,1,0,0,3
11,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Mateus,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,Espírito Santo,Flamengo,07/12/2013 19:00,8ª RODADA,1º TURNO,casa,derrota,-17,Equipe,200.0,60,18,169,57,7,26,11,31,17,29,14,18,32,4,9,0,15,19,10,1,65
0,2013,Flamengo,Espírito Santo,07/12/2013 19:00,8ª RODADA,1º TURNO,fora,vitória,17,Marcelinho,29.1,19,7,41,15,5,11,2,4,0,0,0,1,1,1,0,0,1,1,1,0,16
