,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Dos Santos,27.7,21,9,29,12,0,0,9,12,3,5,3,5,8,2,2,1,4,4,2,2,13
1,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Tiagão,32.9,16,6,39,13,3,8,3,5,1,5,1,3,4,2,1,0,3,6,1,0,15
2,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Neto,38.5,12,4,39,14,0,4,4,10,4,7,2,3,5,5,2,0,0,8,1,0,16
3,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Caleb Brown,35.9,10,3,30,10,1,6,2,4,3,4,5,2,7,3,2,0,3,2,2,0,9
4,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Wiggins,29.0,8,4,17,8,0,1,4,7,0,0,0,6,6,6,1,0,4,0,1,1,9
5,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Guto,26.3,6,2,16,6,2,4,0,2,0,0,0,3,3,0,2,0,2,0,0,0,6
6,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Thyago Aleo,4.6,2,1,6,3,0,0,1,3,0,0,1,0,1,0,0,0,0,2,0,0,2
7,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Igor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,Egon,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,Palmeiras,Paulistano,05/01/2014 11:00,13ª RODADA,1º TURNO,casa,vitória,7,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
