,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Dawkins,29.4,24,7,40,14,6,8,1,6,4,4,2,4,6,5,3,0,3,4,3,0,17
1,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Holloway,33.2,16,5,31,12,0,0,5,12,6,7,2,2,4,1,2,0,5,7,1,0,14
2,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,César,24.8,9,2,23,6,1,5,1,1,4,6,0,1,1,2,0,0,4,3,3,0,11
3,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Pedro Teruel,24.0,9,2,15,5,1,1,1,4,4,4,1,2,3,0,0,0,3,3,0,0,6
4,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Pecos,8.4,6,3,14,6,0,2,3,4,0,0,0,1,1,0,1,0,0,1,0,0,6
5,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Devon,19.2,6,3,17,8,0,1,3,7,0,0,3,4,7,0,0,0,2,0,1,3,6
6,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Renato,23.0,5,2,14,5,0,2,2,3,1,2,0,0,0,0,1,0,3,1,1,0,7
7,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Arthur,7.8,4,2,6,3,0,0,2,3,0,0,3,1,4,0,0,1,1,0,1,0,1
8,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,F. Penna,11.9,3,0,8,2,0,1,0,1,3,3,0,1,1,0,0,0,3,2,1,0,4
9,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Pilar,13.9,2,1,6,3,0,0,1,3,0,0,1,2,3,1,2,0,4,0,1,0,3
10,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Labbate,4.2,0,0,2,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,3
11,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Gemerson,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Paulistano,Limeira,12/11/2014 20:00,3ª RODADA,1º TURNO,casa,derrota,-1,Equipe,200.0,84,27,176,65,8,20,19,45,22,26,12,20,32,9,10,1,29,21,14,3,77
0,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,David Jackson,36.8,20,5,38,12,2,6,3,6,8,8,1,4,5,5,3,0,0,8,0,0,14
1,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Ramon,31.4,15,5,21,7,3,5,2,2,2,2,0,4,4,0,1,0,5,3,4,0,12
2,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Hayes,18.7,15,4,17,5,1,1,3,4,6,6,1,1,2,0,0,0,5,4,2,1,8
3,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Deryk,34.9,10,4,25,9,2,5,2,4,0,2,0,2,2,6,1,0,2,2,2,0,12
4,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Mineiro,21.2,9,3,15,4,0,0,3,4,3,7,1,1,2,0,0,1,3,6,1,0,7
5,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,B. Fiorotto,26.3,9,3,14,5,0,0,3,5,3,4,0,4,4,2,0,1,2,4,4,1,11
6,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Teichmann,11.5,4,2,8,3,0,0,2,3,0,2,1,2,3,3,2,2,1,2,1,0,4
7,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Matheus Dalla,19.0,3,1,12,4,1,4,0,0,0,0,0,1,1,0,0,0,3,0,3,0,7
8,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Du Sommer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Higor,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Matheus P.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Nicolas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Limeira,Paulistano,12/11/2014 20:00,3ª RODADA,1º TURNO,fora,vitória,1,Equipe,200.0,85,27,150,49,9,21,18,28,22,31,4,23,27,16,8,4,21,29,17,2,74
