,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Léo Meindl,36.6,24,9,46,16,4,7,5,9,2,7,3,4,7,0,1,0,3,6,1,0,17
1,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Mata,29.0,14,2,29,8,2,5,0,3,8,8,0,4,4,1,3,0,1,5,1,0,12
2,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Coimbra,35.4,13,5,22,9,0,0,5,9,3,4,3,7,10,0,1,0,4,4,5,0,13
3,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Figueroa,34.6,7,3,20,8,0,2,3,6,1,2,2,2,4,7,2,0,2,5,2,0,9
4,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Lucas Mariano,17.9,6,3,13,5,0,1,3,4,0,2,0,2,2,1,0,0,3,1,2,1,8
5,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Antonio,15.8,5,2,9,4,1,1,1,3,0,0,2,1,3,0,0,0,2,1,3,0,5
6,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Helinho,26.5,1,0,8,3,0,1,0,2,1,1,0,1,1,2,0,0,3,0,2,0,5
7,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Dudú,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Pedro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,João Pedro,4.3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2
10,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Tom,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Sesi Franca,Uberlândia,24/02/2015 20:00,24ª RODADA,2º TURNO,casa,vitória,8,Equipe,200.0,70,24,149,54,7,17,17,37,15,24,11,24,35,11,10,1,18,22,17,1,70
0,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Gruber,32.5,20,6,38,13,2,6,4,7,6,6,0,5,5,2,2,3,2,5,3,0,18
1,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Taboada,36.6,12,5,30,13,2,4,3,9,0,0,0,1,1,1,2,1,3,2,3,0,16
2,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Renan,17.0,8,4,17,8,0,1,4,7,0,0,3,1,4,0,0,0,2,1,2,0,7
3,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Audrei,36.3,8,3,22,9,0,2,3,7,2,2,1,5,6,1,2,0,3,2,2,0,11
4,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Hélio,28.5,7,1,13,4,1,1,0,3,4,4,1,2,3,4,2,0,4,3,2,0,7
5,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Icaro,34.0,7,1,19,6,1,3,0,3,4,4,2,3,5,3,2,0,4,3,4,0,10
6,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Rodrigo Silva,6.3,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
7,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Leandro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Vinicius Teló,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Mims,8.7,0,0,2,1,0,0,0,1,0,0,0,4,4,0,0,0,4,1,2,0,3
10,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Zanini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Uberlândia,Sesi Franca,24/02/2015 20:00,24ª RODADA,2º TURNO,fora,derrota,-8,Equipe,200.0,62,20,144,55,6,18,14,37,16,16,8,24,32,11,14,4,23,18,18,0,71
