,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Jeff,22.9,16,8,20,10,0,0,8,10,0,0,2,4,6,1,0,0,3,1,1,0,9
1,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Dawkins,22.6,12,4,27,10,2,5,2,5,2,2,1,4,5,4,0,0,2,2,1,0,11
2,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Pedro Teruel,17.4,11,4,22,9,1,2,3,7,2,2,1,0,1,3,0,0,2,1,0,0,9
3,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,F. Penna,20.9,11,3,19,6,2,3,1,3,3,4,1,3,4,1,0,0,0,2,3,0,10
4,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Holloway,25.5,11,5,18,8,0,0,5,8,1,2,2,0,2,2,2,1,2,3,2,0,9
5,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Pilar,26.0,9,3,16,6,0,0,3,6,3,4,1,6,7,3,3,0,1,4,5,0,12
6,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,César,25.3,8,3,20,8,1,3,2,5,1,1,2,3,5,0,0,0,2,3,2,0,8
7,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Labbate,13.2,7,3,12,5,0,0,3,5,1,2,3,1,4,0,0,0,2,3,0,2,3
8,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Renato,17.1,1,0,13,4,0,3,0,1,1,2,0,2,2,0,0,0,3,1,1,0,6
9,2014,Paulistano,Fortaleza Basquete,01/04/2015 20:00,29ª RODADA,2º TURNO,casa,vitória,8,Mogi,0.6,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
