,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Cauê,29.3,17,5,29,11,2,2,3,9,5,5,2,0,2,4,1,0,3,5,3,0,14
1,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Thiaguinho,32.5,13,4,30,11,2,4,2,7,3,4,3,2,5,1,2,0,3,6,4,0,14
2,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Gaines,25.0,13,5,23,9,1,3,4,6,2,2,3,0,3,1,0,0,3,5,2,0,9
3,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Jeff,25.3,10,5,20,10,0,0,5,10,0,0,3,1,4,2,1,0,5,0,1,0,8
4,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Gaúcho,14.2,9,3,22,7,1,3,2,4,2,5,0,0,0,0,0,0,1,3,0,0,9
5,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Schneider,33.4,8,2,20,7,0,2,2,5,4,4,0,5,5,1,1,0,3,4,0,0,9
6,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Lupa,11.7,7,2,8,2,0,0,2,2,3,4,1,3,4,1,0,0,2,2,0,1,3
7,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Hubner,22.1,6,3,17,7,0,3,3,4,0,0,4,3,7,1,0,0,5,1,0,3,3
8,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Danillo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Mafra,6.6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0
10,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Aguinha,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Diego,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Liga Sorocabana,Limeira,14/11/2014 19:45,4ª RODADA,1º TURNO,casa,derrota,-2,Equipe,200.0,83,29,169,64,6,17,23,47,19,24,17,15,32,11,9,0,28,26,10,4,67
0,2014,Limeira,Liga Sorocabana,14/11/2014 19:45,4ª RODADA,1º TURNO,fora,vitória,2,David Jackson,38.9,20,4,39,10,0,6,4,4,12,13,1,5,6,6,0,0,2,10,3,0,17
1,2014,Limeira,Liga Sorocabana,14/11/2014 19:45,4ª RODADA,1º TURNO,fora,vitória,2,Deryk,38.5,20,6,34,12,2,4,4,8,6,6,0,5,5,2,3,0,3,6,5,0,19
2,2014,Limeira,Liga Sorocabana,14/11/2014 19:45,4ª RODADA,1º TURNO,fora,vitória,2,Mineiro,32.1,12,4,20,8,0,0,4,8,4,4,2,1,3,0,0,1,3,5,1,3,9
3,2014,Limeira,Liga Sorocabana,14/11/2014 19:45,4ª RODADA,1º TURNO,fora,vitória,2,Ramon,24.6,9,4,19,8,1,3,3,5,0,0,0,0,0,1,1,0,4,2,1,0,9
4,2014,Limeira,Liga Sorocabana,14/11/2014 19:45,4ª RODADA,1º TURNO,fora,vitória,2,Matheus Dalla,15.7,8,3,10,4,2,2,1,2,0,0,0,3,3,1,0,0,5,0,0,0,4
