,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Fuzaro,31.0,26,9,40,14,3,5,6,9,5,7,2,1,3,5,4,0,5,5,2,1,17
1,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Alex,32.9,14,5,43,15,2,9,3,6,2,4,4,3,7,1,3,0,4,5,0,1,13
2,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Bruno,36.5,13,4,22,7,1,4,3,3,4,4,1,1,2,2,0,0,1,2,0,0,8
3,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Coelho,41.5,9,3,45,17,1,7,2,10,2,4,1,1,2,4,3,0,5,5,3,0,21
4,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Shilton,38.7,7,3,16,7,0,0,3,7,1,2,5,8,13,2,0,0,4,6,2,0,5
5,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Cafferata,17.3,5,2,17,6,1,3,1,3,0,2,1,2,3,0,0,0,3,4,2,0,8
6,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Ansaloni,17.4,4,1,9,3,0,0,1,3,2,3,0,1,1,0,0,0,4,1,5,1,9
7,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Demétrio,8.7,2,1,9,4,0,1,1,3,0,0,1,2,3,0,0,0,2,1,1,0,4
8,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Pitico,1.0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
9,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Moisés,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Panunzio,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Adyb,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Minas,Macaé Basquete,12/04/2015 17:00,2ª RODADA,OITAVAS,casa,derrota,-1,Equipe,225.0,80,28,203,74,8,29,20,45,16,26,18,22,40,14,13,0,30,29,15,3,81
0,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Smith,35.7,23,5,37,11,1,3,4,8,12,12,0,1,1,4,1,0,4,13,4,0,20
1,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Atílio,34.7,15,6,23,10,0,0,6,10,3,3,1,2,3,0,0,0,4,3,5,0,15
2,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Young,25.3,13,3,20,6,3,4,0,2,4,4,1,3,4,1,1,1,4,2,1,0,8
3,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Eddy,38.5,12,4,29,10,2,7,2,3,2,2,1,7,8,1,3,1,4,2,2,0,12
4,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Fernando,22.6,9,3,11,4,1,1,2,3,2,2,2,7,9,0,0,0,4,1,4,0,7
5,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,George,22.5,5,2,12,5,1,2,1,3,0,0,2,5,7,0,2,1,5,4,2,0,5
6,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Márcio,27.3,4,2,21,8,0,3,2,5,0,2,1,3,4,0,1,0,3,2,1,0,9
7,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,P. Rava,13.3,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,2
8,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Maique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,De Bem,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Diego,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,João,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,2014,Macaé Basquete,Minas,12/04/2015 17:00,2ª RODADA,OITAVAS,fora,vitória,1,Equipe,225.0,81,25,156,55,8,21,17,34,23,25,9,31,40,8,9,3,31,28,22,0,78
