,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Dedé,24.7,18,4,30,8,3,6,1,2,7,8,0,1,1,3,1,1,1,6,0,0,11
1,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,J. Baxter,34.2,16,5,34,12,1,5,4,7,5,5,0,6,6,1,2,2,0,2,1,0,15
2,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Betinho,22.5,14,4,22,7,2,3,2,4,4,5,0,2,2,2,0,0,3,5,3,0,12
3,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Renan,20.8,13,5,16,6,0,0,5,6,3,4,2,4,6,2,0,2,5,5,1,1,7
4,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Drudi,27.3,7,3,15,7,0,0,3,7,1,1,2,4,6,0,0,0,4,0,0,0,5
5,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Valtinho,27.8,7,2,16,5,0,2,2,3,3,4,1,0,1,4,1,0,1,3,2,0,8
6,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Caio Torres,17.9,6,3,12,6,0,0,3,6,0,0,2,3,5,1,0,1,3,3,1,0,5
7,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,G. Basílio,3.6,2,1,5,2,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2
8,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Laws,21.0,2,1,12,5,0,2,1,3,0,0,0,1,1,3,0,0,1,0,2,0,7
9,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,João Pedro,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,André M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Colimerio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,São José,Paulistano,13/04/2015 20:00,3ª RODADA,OITAVAS,casa,vitória,11,Equipe,200.0,85,28,162,58,6,19,22,39,23,27,8,22,30,16,7,6,23,24,10,1,71
0,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Renato,33.7,17,6,31,11,4,7,2,4,1,2,1,4,5,1,0,0,4,2,1,0,12
1,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Dawkins,36.9,17,5,29,10,1,2,4,8,6,7,1,4,5,8,1,0,2,9,6,0,18
2,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Pilar,29.2,16,7,20,9,0,0,7,9,2,2,0,4,4,1,2,0,5,1,2,0,12
3,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Holloway,26.0,8,3,18,8,0,0,3,8,2,2,1,1,2,0,0,0,3,1,4,0,12
4,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Labbate,13.6,5,2,16,7,0,0,2,7,1,2,1,3,4,0,0,0,2,5,0,0,7
5,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Pedro Teruel,20.2,4,1,18,6,1,4,0,2,1,2,2,0,2,0,0,0,3,2,2,0,7
6,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,F. Penna,10.6,3,1,6,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5
7,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Arthur,6.5,2,1,2,1,0,0,1,1,0,0,1,0,1,0,0,1,2,0,1,0,1
8,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,César,21.4,2,1,10,3,0,2,1,1,0,2,0,3,3,1,2,0,4,1,1,0,5
9,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Léo W.,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Gemerson,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Lucão,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Paulistano,São José,13/04/2015 20:00,3ª RODADA,OITAVAS,fora,derrota,-11,Equipe,200.0,74,27,150,57,7,17,20,40,13,19,11,23,34,11,8,1,25,21,20,0,74
