,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Benite,29.2,19,8,32,14,3,4,5,10,0,0,0,2,2,3,1,0,3,1,0,1,14
1,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Olivinha,27.4,16,5,30,10,1,4,4,6,5,6,6,7,13,3,2,0,2,4,1,1,7
2,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Marquinhos,26.0,11,4,31,12,2,5,2,7,1,2,0,4,4,0,1,0,1,4,0,1,13
3,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Laprovittola,17.4,10,2,17,5,2,3,0,2,4,4,0,1,1,4,1,0,3,4,2,0,9
4,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Felicio,21.5,10,4,14,6,0,0,4,6,2,2,2,4,6,1,0,1,2,1,2,0,7
5,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Herrmann,17.7,10,4,28,10,1,6,3,4,1,2,0,3,3,1,1,0,0,2,0,0,11
6,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Marcelinho,18.2,6,2,15,5,2,5,0,0,0,0,0,3,3,1,0,0,2,0,1,0,6
7,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Meyinsse,18.3,3,1,11,5,0,0,1,5,1,1,1,3,4,0,0,1,4,1,1,1,5
8,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Léo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Mingau,1.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1
10,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Gegê,22.7,0,0,5,1,0,1,0,0,0,2,0,1,1,3,0,0,3,2,1,0,3
12,2014,Flamengo,São José,23/04/2015 18:00,1ª RODADA,QUARTAS,casa,vitória,23,Equipe,200.0,85,30,183,68,11,28,19,40,14,19,12,29,41,16,10,2,20,19,8,4,72
0,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,J. Baxter,33.8,15,6,43,16,3,11,3,5,0,0,1,2,3,1,0,1,0,2,1,1,16
1,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Laws,21.0,10,3,18,6,2,3,1,3,2,3,0,1,1,3,1,0,1,2,2,0,9
2,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Caio Torres,29.6,10,4,20,9,0,0,4,9,2,2,2,6,8,3,1,0,1,3,2,0,10
3,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Drudi,22.1,8,4,22,10,0,2,4,8,0,0,2,5,7,0,0,0,2,1,4,0,12
4,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Dedé,23.3,8,3,16,6,1,2,2,4,1,2,1,3,4,3,1,0,2,5,0,0,6
5,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,G. Basílio,14.1,6,3,14,6,0,2,3,4,0,0,1,0,1,1,0,0,3,0,2,0,7
6,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,João Pedro,3.5,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1
7,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Renan,9.0,2,1,4,2,0,0,1,2,0,0,0,1,1,0,0,0,5,0,0,0,2
8,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Betinho,17.7,1,0,13,5,0,1,0,4,1,2,0,1,1,2,0,0,3,2,2,0,8
9,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,Valtinho,25.7,0,0,7,3,0,1,0,2,0,0,1,1,2,4,0,0,2,4,2,0,4
10,2014,São José,Flamengo,23/04/2015 18:00,1ª RODADA,QUARTAS,fora,derrota,-23,André M.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
