,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Ramon,39.3,18,5,46,15,4,10,1,5,4,6,2,2,4,5,2,0,2,4,1,0,16
1,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Mineiro,20.4,15,6,25,10,0,1,6,9,3,4,2,2,4,4,1,0,0,3,2,1,12
2,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,David Jackson,26.5,13,5,25,9,1,5,4,4,2,2,0,3,3,3,1,0,2,1,0,0,10
3,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Teichmann,10.9,9,4,13,6,0,0,4,6,1,1,0,0,0,1,2,0,4,1,0,1,6
4,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Deryk,23.8,8,3,23,8,1,5,2,3,1,2,0,3,3,1,1,0,3,1,1,0,10
5,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,B. Fiorotto,30.4,8,4,20,9,0,0,4,9,0,2,2,5,7,2,1,0,5,2,2,1,10
6,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Nezinho,19.1,6,1,12,3,1,3,0,0,3,3,0,2,2,1,4,0,3,3,2,0,6
7,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Hayes,14.7,5,2,12,5,1,2,1,3,0,0,1,2,3,0,0,0,2,2,0,0,4
8,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Du Sommer,1.2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Higor,30.0,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3
10,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Matheus Dalla,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Matheus P.,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,2014,Limeira,São José,21/11/2014 20:00,6ª RODADA,1º TURNO,casa,vitória,11,Equipe,217.0,82,30,188,69,8,30,22,39,14,20,7,20,27,17,14,0,25,18,12,3,82
0,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Caio Torres,30.7,16,3,24,7,0,0,3,7,10,10,2,9,11,0,1,0,1,9,5,0,14
1,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Laws,36.9,15,5,20,7,1,2,4,5,4,4,0,3,3,1,2,0,1,3,4,0,13
2,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,J. Baxter,36.2,14,5,34,13,1,5,4,8,3,3,2,3,5,6,2,2,3,3,1,0,13
3,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Betinho,20.3,8,1,21,6,0,1,1,5,6,8,0,3,3,2,1,0,3,5,1,0,10
4,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Mineiro,22.5,8,3,10,4,0,0,3,4,2,2,0,2,2,1,0,0,4,2,1,0,6
5,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Valtinho,32.8,8,3,18,7,2,4,1,3,0,0,0,4,4,1,0,0,2,3,3,0,10
6,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Renan,12.0,2,1,8,4,0,0,1,4,0,0,0,4,4,0,0,0,0,0,2,0,6
7,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Rafinha,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,G. Basílio,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
9,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Lopes,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,São José,Limeira,21/11/2014 20:00,6ª RODADA,1º TURNO,fora,derrota,-11,Equipe,200.0,71,21,135,48,4,12,17,36,25,27,7,32,39,11,7,2,20,25,14,0,66
