,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Duda,33.2,19,6,40,13,5,12,1,1,2,2,0,1,1,5,4,0,4,4,4,0,18
1,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Tischer,18.6,16,8,17,8,0,0,8,8,0,1,0,8,8,0,0,0,1,2,3,2,11
2,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Calvo,25.7,10,2,15,4,2,3,0,1,4,4,1,4,5,2,0,0,3,2,1,0,6
3,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Estevão,20.1,6,2,10,4,0,0,2,4,2,2,2,0,2,0,0,1,1,3,0,0,3
4,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Brown,20.9,6,2,22,8,0,4,2,4,2,2,1,2,3,4,0,1,1,3,2,0,10
5,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Tatu,28.2,5,2,19,8,1,3,1,5,0,0,0,2,2,2,1,0,2,2,2,0,10
6,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Mosso,26.4,4,2,17,7,0,3,2,4,0,0,0,5,5,2,1,0,2,1,1,0,8
7,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Caio,18.9,2,1,15,6,0,3,1,3,0,0,1,0,1,1,0,0,1,0,1,0,6
8,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Pastor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Léo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Vinicius,8.3,0,0,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3
11,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Carlão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Rio Claro,Sesi Franca,28/11/2014 19:30,8ª RODADA,1º TURNO,casa,derrota,-7,Equipe,200.0,68,25,160,60,8,29,17,31,10,11,6,26,32,17,8,2,15,17,15,2,73
0,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Léo Meindl,37.4,18,8,55,23,1,6,7,17,1,3,3,4,7,3,1,0,3,4,1,0,22
1,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Antonio,29.4,17,7,35,14,2,5,5,9,1,2,3,3,6,3,0,1,3,4,1,0,13
2,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Mata,32.7,13,3,27,8,3,7,0,1,4,4,1,9,10,4,1,0,2,4,3,0,12
3,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Coimbra,21.8,8,3,12,5,0,0,3,5,2,2,4,4,8,0,0,0,5,1,1,0,3
4,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Leonardo,17.7,7,3,18,8,0,0,3,8,1,2,2,4,6,0,1,1,1,1,2,2,9
5,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Lucas Mariano,19.6,6,3,12,6,0,0,3,6,0,0,2,1,3,1,0,0,0,0,1,2,5
6,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Helinho,27.3,6,3,18,8,0,2,3,6,0,0,0,3,3,2,2,0,3,1,2,0,10
7,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Gustavo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Tom,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Cobos,14.1,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
10,2014,Sesi Franca,Rio Claro,28/11/2014 19:30,8ª RODADA,1º TURNO,fora,vitória,7,Equipe,200.0,75,30,181,74,6,20,24,54,9,13,18,30,48,14,8,2,17,15,11,4,72
