,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Shamell,28.3,28,11,58,22,3,11,8,11,3,3,0,3,3,1,1,0,4,6,5,0,28
1,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Gerson,27.5,12,5,14,6,0,0,5,6,2,2,5,2,7,0,1,3,3,1,2,2,4
2,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Filipin,28.5,11,3,22,7,3,6,0,1,2,2,1,2,3,2,3,0,3,1,1,0,8
3,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Elinho,27.0,11,3,20,7,3,4,0,3,2,2,1,0,1,5,2,0,2,2,7,0,14
4,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Tyrone Curnell,32.4,10,4,24,10,2,4,2,6,0,0,1,7,8,2,1,0,2,2,2,1,11
5,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Gehrke,22.0,10,4,13,5,1,1,3,4,1,2,4,3,7,2,0,0,3,1,2,1,4
6,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Prestes,15.6,8,3,14,5,0,0,3,5,2,4,2,2,4,0,0,0,1,2,0,0,5
7,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Xande,14.5,4,2,12,5,0,0,2,5,0,2,0,2,2,4,3,0,3,2,3,0,9
8,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Jimmy,4.3,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0
9,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Evander,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,PH Macedo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Vithinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Mogi das Cruzes,Flamengo,10/12/2014 21:30,9ª RODADA,1º TURNO,casa,derrota,-4,Equipe,200.0,94,35,177,67,12,26,23,41,12,17,16,24,40,18,15,3,22,17,23,4,81
0,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Marquinhos,29.3,25,9,42,15,6,11,3,4,1,1,0,2,2,2,2,1,1,4,3,1,18
1,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Marcelinho,27.8,17,5,34,11,4,8,1,3,3,4,2,1,3,3,0,0,1,4,4,0,15
2,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Olivinha,20.5,16,5,29,10,3,6,2,4,3,3,1,1,2,1,1,0,3,2,0,0,10
3,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Meyinsse,24.5,11,4,15,6,0,0,4,6,3,3,2,2,4,0,4,0,3,4,2,1,7
4,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Laprovittola,26.8,11,3,17,5,3,5,0,0,2,2,2,2,4,11,3,0,2,2,4,0,8
5,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Benite,18.2,10,4,20,8,2,4,2,4,0,0,0,1,1,1,0,0,3,0,4,0,12
6,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Herrmann,23.8,6,2,19,7,0,3,2,4,2,2,0,3,3,1,0,0,1,2,0,0,8
7,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Felicio,15.5,2,0,2,0,0,0,0,0,2,2,0,1,1,1,1,0,3,1,0,0,1
8,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Gegê,13.7,0,0,6,2,0,2,0,0,0,0,0,2,2,2,0,0,2,1,2,0,4
9,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Dedé,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Flamengo,Mogi das Cruzes,10/12/2014 21:30,9ª RODADA,1º TURNO,fora,vitória,4,Danielzinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
