,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Coelho,31.0,27,8,35,11,2,3,6,8,9,10,1,1,2,6,4,0,3,10,4,3,18
1,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Ansaloni,27.1,17,7,27,9,0,1,7,8,3,8,1,2,3,1,1,2,2,5,2,1,13
2,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Collum,30.7,7,3,20,8,1,4,2,4,0,0,1,4,5,3,6,0,0,0,1,0,8
3,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Cafferata,18.4,7,2,8,2,2,2,0,0,1,2,0,2,2,3,0,0,4,2,2,0,5
4,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Shilton,29.2,5,1,14,5,0,0,1,5,3,4,1,9,10,1,0,0,3,3,2,0,8
5,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Bruno,25.8,4,1,15,5,1,3,0,2,1,2,0,1,1,0,0,0,1,2,0,0,6
6,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Moisés,7.8,4,2,8,4,0,0,2,4,0,0,0,2,2,0,1,0,0,0,2,0,6
7,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Fuzaro,21.4,4,2,8,4,0,0,2,4,0,0,0,1,1,3,2,0,2,2,2,0,6
8,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Panunzio,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Adyb,8.5,0,0,4,2,0,0,0,2,0,0,1,0,1,1,1,0,1,0,1,0,2
10,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Adriano Big,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Juliatto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Minas,Uberlândia,22/12/2014 17:00,13ª RODADA,1º TURNO,casa,vitória,9,Equipe,200.0,75,26,139,50,6,13,20,37,17,26,7,23,30,18,18,2,16,24,16,4,69
0,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Hélio,34.9,15,6,25,10,0,1,6,9,3,4,0,1,1,4,2,0,3,5,5,0,17
1,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Renan,26.5,12,4,14,5,2,2,2,3,2,2,0,3,3,1,0,0,2,2,1,0,7
2,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Audrei,33.2,11,4,20,8,3,4,1,4,0,0,2,3,5,4,3,0,3,4,3,0,9
3,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Gruber,27.5,8,3,16,6,2,4,1,2,0,0,1,1,2,1,0,0,3,1,2,0,7
4,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Taboada,27.2,8,3,16,6,2,4,1,2,0,0,0,3,3,1,0,0,2,1,3,0,9
5,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Zanini,14.4,7,2,14,5,1,1,1,4,2,3,0,3,3,0,2,0,1,2,0,0,6
6,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Mims,15.4,5,2,16,6,0,2,2,4,1,2,0,3,3,1,1,2,4,1,3,1,10
7,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Luan,6.3,0,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
8,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Caleb Brown,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Vinicius Teló,4.6,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,3
10,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Rodrigo Silva,10.1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,4
11,2014,Uberlândia,Minas,22/12/2014 17:00,13ª RODADA,1º TURNO,fora,derrota,-9,Equipe,200.0,66,24,130,50,10,19,14,31,8,11,4,19,23,12,10,2,24,16,22,1,72
