,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Joe Smith,31.3,18,6,32,11,4,8,2,3,2,2,2,2,4,3,1,0,1,5,3,0,13
1,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Kurtz,18.9,13,5,20,8,0,0,5,8,3,4,2,2,4,0,0,1,1,4,3,0,11
2,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Jason Smith,24.3,11,4,28,10,2,6,2,4,1,2,1,0,1,4,0,0,4,2,1,0,11
3,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Jefferson,7.0,8,3,11,4,2,3,1,1,0,0,0,0,0,0,0,0,1,1,1,0,5
4,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Felipe,31.0,7,3,19,7,1,3,2,4,0,2,0,9,9,1,1,0,3,1,1,0,9
5,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Toledo,34.3,4,2,20,8,0,4,2,4,0,0,4,8,12,3,1,1,2,0,3,0,7
6,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Ted,20.2,2,1,19,8,0,3,1,5,0,0,0,2,2,1,0,0,1,0,2,0,10
7,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Morro,17.1,2,0,4,1,0,0,0,1,2,2,0,1,1,2,0,0,1,1,0,0,2
8,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,A. Bambu,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Humberto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Lucas Dias,15.9,0,0,21,8,0,5,0,3,0,0,0,3,3,0,1,0,4,0,0,0,8
11,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Georginho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Pinheiros,Palmeiras,23/12/2014 19:30,13ª RODADA,1º TURNO,casa,derrota,-14,Equipe,200.0,65,24,174,65,9,32,15,33,8,12,10,27,37,14,8,2,18,14,14,0,74
0,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Neto,31.7,20,7,38,14,5,8,2,6,1,2,0,3,3,1,2,0,2,1,3,0,18
1,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Maxi Stanic,27.8,13,3,34,10,3,10,0,0,4,4,0,5,5,3,1,0,0,3,5,0,17
2,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Jhonatan,29.4,12,5,22,9,0,2,5,7,2,2,2,3,5,2,3,0,2,5,0,1,8
3,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Diego,21.3,10,4,19,8,0,1,4,7,2,2,3,5,8,3,2,0,1,2,2,0,8
4,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Fabricio,20.4,8,3,19,7,2,5,1,2,0,0,0,2,2,0,0,0,3,2,0,0,7
5,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Dos Santos,12.7,4,1,8,3,0,0,1,3,2,2,0,3,3,0,0,0,1,1,1,0,5
6,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Toyloy,25.7,4,2,12,5,0,0,2,5,0,2,2,5,7,1,0,2,1,2,1,2,5
7,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Gianella,20.7,4,1,10,4,0,0,1,4,2,2,0,3,3,2,0,0,1,2,2,0,7
8,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Lucas,2.4,4,2,4,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2
9,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,R. Piru,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,D. Nunes,6.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,1
11,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Marone,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,Palmeiras,Pinheiros,23/12/2014 19:30,13ª RODADA,1º TURNO,fora,vitória,14,Equipe,200.0,79,28,166,62,10,26,18,36,13,16,8,33,41,12,11,2,13,18,15,3,75
