,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Larry,26.0,15,6,27,10,3,5,3,5,0,2,1,3,4,4,2,0,2,4,3,0,13
1,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Elinho,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Gerson,20.11,1,0,6,2,0,0,0,2,1,2,1,2,3,0,1,1,4,1,2,0,4
3,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Vithinho,25.15,2,1,22,8,0,6,1,2,0,0,1,5,6,7,1,0,3,1,1,0,8
4,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Fabricio,25.46,8,3,17,7,2,3,1,4,0,0,3,2,5,3,1,0,2,2,0,0,4
5,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Filipin,11.02,5,1,8,2,1,2,0,0,2,2,2,0,2,0,0,0,3,2,1,0,2
6,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,C. Torres,23.2,8,3,25,10,1,3,2,7,1,2,0,2,2,1,0,0,1,2,2,0,13
7,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Franklin,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Jimmy,30.38,15,5,29,10,3,7,2,3,2,2,0,4,4,5,4,0,5,3,4,0,15
9,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Igor,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Shamell,35.55,26,7,38,11,6,8,1,3,6,8,1,4,5,3,0,0,1,5,2,0,15
11,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Lessa,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,-2
13,2016,Mogi das Cruzes,Vasco da Gama,03/02/2017 20:00,19ª RODADA,1º TURNO,casa,vitória,7,Equipe,198.0,80,26,172,60,16,34,10,26,12,18,11,25,36,23,9,1,21,20,16,0,72
0,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Hélio,27.15,8,3,18,7,2,4,1,3,0,0,0,3,3,3,0,0,1,1,2,0,9
1,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Wagner,11.2,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,1,2,0,0,0,0
2,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Gaúcho,24.21,16,6,27,11,3,4,3,7,1,1,0,4,4,0,0,0,1,1,0,0,11
3,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Palacios,13.58,2,1,11,4,0,3,1,1,0,0,0,3,3,0,1,0,1,1,4,0,8
4,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Marcellus,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,B. Fiorotto,14.03,2,1,2,1,0,0,1,1,0,0,0,1,1,3,1,0,2,0,2,0,3
6,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Márcio,15.38,8,2,19,6,1,3,1,3,3,4,1,1,2,0,1,0,3,3,0,0,7
7,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Drudi,8.11,2,1,8,4,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,5
8,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Murilo,25.28,10,4,22,10,0,0,4,10,2,2,3,3,6,0,1,1,4,1,5,0,13
9,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Nezinho,26.31,14,3,24,7,2,4,1,3,6,6,0,0,0,6,2,0,3,10,0,0,9
10,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Jackson,33.15,11,5,15,7,1,1,4,6,0,0,0,5,5,4,3,1,2,4,0,0,7
12,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,-1
13,2016,Vasco da Gama,Mogi das Cruzes,03/02/2017 20:00,19ª RODADA,1º TURNO,fora,derrota,-7,Equipe,198.0,73,26,148,58,9,19,17,39,12,13,6,24,30,16,9,3,20,21,16,0,73
