,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Big,4.14,3,1,3,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1
1,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Panunzio,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Rodgers,34.57,17,7,38,16,1,3,6,13,2,3,3,1,4,7,0,0,3,2,1,0,15
3,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,P. Macedo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Paulinho,16.25,2,1,12,5,0,2,1,3,0,0,0,0,0,4,0,0,4,0,3,0,8
5,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Mosso,18.03,2,1,8,3,0,2,1,1,0,0,1,0,1,0,0,1,2,0,2,0,4
6,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Matheus P.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Rafael,20.45,4,2,11,5,0,1,2,4,0,0,4,3,7,1,1,0,4,0,2,0,3
8,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Xande,16.59,3,1,8,3,1,2,0,1,0,0,0,1,1,2,2,0,1,1,3,0,6
9,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Wesley,15.49,2,1,2,1,0,0,1,1,0,0,1,1,2,0,3,0,3,0,0,0,0
10,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Siqueira,36.21,33,12,40,15,5,6,7,9,4,4,0,2,2,3,3,0,3,5,3,0,20
11,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Maynard,36.0,19,7,38,13,3,6,4,7,2,6,4,3,7,1,3,0,2,8,3,0,14
12,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,-1
13,2016,Minas,Paulistano,14/02/2017 20:00,20ª RODADA,1º TURNO,casa,derrota,-11,Equipe,198.0,85,33,160,62,10,22,23,40,9,14,14,13,27,18,12,1,22,17,18,0,72
0,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Yago,15.31,8,0,14,2,0,2,0,0,8,8,0,1,1,1,1,0,1,4,1,0,6
1,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Mogi,17.59,6,2,12,4,2,4,0,0,0,0,0,1,1,4,0,0,1,2,3,0,7
2,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Luis Fernando,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Jhonatan,17.1,4,2,7,3,0,1,2,2,0,0,0,1,1,2,0,0,2,4,2,0,5
4,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Lucas Dias,23.28,18,7,31,12,4,7,3,5,0,0,0,2,2,3,1,2,4,4,0,0,12
5,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Victor André,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Hure,32.53,23,9,23,9,5,5,4,4,0,0,0,3,3,2,0,0,2,2,0,1,9
7,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Arthur Pecos,19.31,13,6,16,7,0,1,6,6,1,1,1,2,3,6,0,0,1,2,3,0,9
8,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Renato,15.3,2,1,2,1,0,0,1,1,0,0,1,1,2,2,0,0,1,0,1,0,1
9,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Pedrão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,De Paula,33.18,6,2,15,5,1,3,1,2,1,2,0,2,2,8,3,0,4,3,3,0,9
11,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Guilherme,24.4,16,8,20,10,0,0,8,10,0,0,2,3,5,2,2,1,1,1,1,1,9
12,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,Paulistano,Minas,14/02/2017 20:00,20ª RODADA,1º TURNO,fora,vitória,11,Equipe,198.0,96,37,140,53,12,23,25,30,10,11,4,16,20,30,7,3,17,22,14,2,67
