,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Bennett,24.29,11,5,20,9,0,0,5,9,1,2,1,2,3,6,1,0,5,5,4,0,13
1,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Ruivo,9.0,6,2,10,3,1,2,1,1,1,2,0,0,0,1,1,0,0,1,2,0,6
2,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Gemerson,30.38,12,3,28,9,2,6,1,3,4,4,0,4,4,2,2,0,4,2,2,0,13
3,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Mathias,22.28,6,3,13,6,0,0,3,6,0,1,4,2,6,1,0,0,4,2,1,0,3
4,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Ansaloni,23.13,9,4,18,8,0,0,4,8,1,2,0,5,5,2,0,1,4,3,1,2,10
5,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Teichmann,28.49,7,3,10,4,0,0,3,4,1,2,1,7,8,5,2,1,5,1,1,0,5
6,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Renan,5.3,4,1,10,3,0,2,1,1,2,2,0,0,0,0,0,0,1,1,0,0,4
7,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Neto,15.53,8,3,14,6,2,2,1,4,0,0,1,0,1,3,0,0,2,1,5,0,10
8,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Gustavo,5.53,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,2
9,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Holloway,34.07,23,9,33,12,0,1,9,11,5,8,1,4,5,2,1,0,3,8,3,0,17
10,2016,Pinheiros,Brasília,21/02/2017 20:05,22ª RODADA,1º TURNO,casa,vitória,8,Sena,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
