,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Gui Deodato,25.33,9,4,21,8,1,5,3,3,0,0,0,1,1,1,0,0,2,0,1,0,9
1,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Shilton,28.44,8,3,21,7,0,0,3,7,2,7,4,5,9,0,0,0,4,4,1,0,7
2,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Stefano,4.02,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Valtinho,18.09,6,1,11,3,0,1,1,2,4,4,0,3,3,2,0,0,2,3,0,1,5
4,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Alex,19.57,19,7,27,10,2,4,5,6,3,3,1,4,5,3,1,1,4,2,2,0,12
5,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Jefferson,28.41,14,3,35,11,1,5,2,6,7,8,0,3,3,0,1,0,4,7,1,0,15
6,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Henrique,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Michael,3.5,0,0,2,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,2
8,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Gegê,32.01,8,2,20,6,2,6,0,0,2,2,0,2,2,5,1,0,2,3,0,0,7
9,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Léo Meindl,37.05,19,6,32,11,1,3,5,8,6,7,8,3,11,3,2,0,2,5,4,0,10
10,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Jaú,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
12,2016,Bauru,Vitória,07/03/2017 19:30,24ª RODADA,1º TURNO,casa,vitória,12,Equipe,198.0,83,26,172,58,7,25,19,33,24,31,13,25,38,14,5,1,21,24,12,1,69
0,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Keyron,33.21,12,3,26,8,1,3,2,5,5,7,1,4,5,2,0,0,3,5,2,0,12
1,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Arthur,19.32,7,3,15,6,1,3,2,3,0,0,0,3,3,2,0,0,4,0,3,0,9
2,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Murilo,9.57,4,2,8,3,0,0,2,3,0,2,0,1,1,1,0,0,1,1,0,0,4
3,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Renato,14.49,5,2,17,6,1,3,1,3,0,2,1,1,2,0,0,0,3,3,1,0,7
4,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Braga,1.25,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Dawkins,32.11,15,6,31,12,2,6,4,6,1,1,1,1,2,5,1,0,2,5,1,0,12
6,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Edu Mariano,25.37,7,3,10,4,1,2,2,2,0,0,2,4,6,1,0,1,1,2,0,1,2
7,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Kurtz,17.11,6,3,14,7,0,0,3,7,0,0,0,1,1,0,0,0,5,1,2,0,9
8,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,André,24.33,3,1,10,3,0,2,1,1,1,2,0,3,3,2,3,0,2,2,2,0,6
9,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Coimbra,21.24,10,4,17,7,0,0,4,7,2,3,1,1,2,0,0,0,4,2,1,0,8
10,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,-1
11,2016,Vitória,Bauru,07/03/2017 19:30,24ª RODADA,1º TURNO,fora,derrota,-12,Equipe,198.0,71,28,150,57,6,19,22,38,9,17,7,22,29,13,4,1,25,21,12,1,69
