,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Alex Garcia,43.2,30,10,61,20,3,10,7,10,7,11,1,5,6,5,1,0,4,7,3,0,26
1,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Gui Deodato,34.3,21,7,44,16,4,9,3,7,3,3,0,4,4,2,2,1,2,2,2,0,19
2,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Jefferson,30.1,11,4,27,10,2,5,2,5,1,2,1,4,5,1,0,1,5,1,4,0,14
3,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Hettsheimeir,27.1,11,4,22,8,2,4,2,4,1,2,3,6,9,1,0,0,5,3,4,0,10
4,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Léo Meindl,37.8,9,3,44,16,1,8,2,8,2,4,3,3,6,5,1,1,3,5,1,1,16
5,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Shilton,23.2,5,2,12,5,0,0,2,5,1,2,2,3,5,2,0,0,5,2,5,0,9
6,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Gabriel Jaú,4.2,4,1,6,1,0,0,1,1,2,4,1,0,1,0,0,0,1,2,0,0,2
7,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Valtinho,13.2,2,1,4,2,0,0,1,2,0,0,0,3,3,0,0,0,0,1,0,0,2
8,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Michael,2.2,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
9,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Gegê,34.7,2,1,9,4,0,1,1,3,0,0,1,5,6,5,0,0,1,0,2,0,5
10,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,L. Eltink,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Gui Santos,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,Bauru,Flamengo,05/11/2016 14:00,1ª RODADA,1º TURNO,casa,derrota,-3,Equipe,250.0,97,34,231,83,12,37,22,46,17,28,14,35,49,21,4,3,27,24,21,1,101
0,2016,Flamengo,Bauru,05/11/2016 14:00,1ª RODADA,1º TURNO,fora,vitória,3,Batista,36.3,29,12,42,18,0,0,12,18,5,6,6,6,12,0,0,0,2,4,0,0,14
1,2016,Flamengo,Bauru,05/11/2016 14:00,1ª RODADA,1º TURNO,fora,vitória,3,Marcelinho,46.5,22,5,67,22,2,10,3,12,10,13,1,6,7,5,1,0,2,7,3,0,29
