,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Anthony,32.38,24,8,42,15,3,4,5,11,5,8,2,3,5,3,0,0,2,9,6,0,22
1,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Simmons,17.22,3,1,5,2,1,1,0,1,0,0,0,2,2,0,2,0,4,0,0,0,2
2,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Thiaguinho,19.59,6,2,17,6,2,5,0,1,0,0,0,2,2,2,0,0,4,0,1,0,7
3,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Rafa Moreira,24.13,9,3,17,6,3,5,0,1,0,0,0,2,2,2,1,0,4,1,0,0,6
4,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Erick,27.15,7,3,15,6,1,3,2,3,0,0,0,3,3,4,0,1,2,0,0,0,6
5,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Schneider,32.49,8,3,22,8,2,6,1,2,0,0,1,5,6,4,3,0,2,1,0,0,7
6,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Igor,13.27,0,0,8,3,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3
7,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Mateus A.,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Alex,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Pezão,6.26,0,0,4,0,0,0,0,0,0,4,1,3,4,1,0,0,1,2,1,0,2
10,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Silva Júnior,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Lupa,25.41,13,6,24,11,0,0,6,11,1,2,1,2,3,1,0,1,5,4,3,1,14
12,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,-1
13,2016,Macaé Basquete,Bauru,04/04/2017 19:30,1ª RODADA,OITAVAS,casa,derrota,-10,Equipe,198.0,70,26,154,57,12,26,14,31,6,14,6,24,30,17,7,2,26,17,11,1,68
0,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Gui Deodato,17.28,7,3,21,8,1,5,2,3,0,0,0,0,0,2,1,0,3,0,1,0,9
1,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Shilton,23.16,4,2,12,5,0,0,2,5,0,2,2,4,6,1,1,0,2,1,1,0,5
2,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Stefano,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Valtinho,22.03,3,1,9,3,1,3,0,0,0,0,2,0,2,6,1,0,2,1,1,0,2
4,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Alex,36.33,17,4,46,13,1,9,3,4,8,11,1,10,11,7,0,0,3,9,2,0,18
5,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Jefferson,34.14,23,6,40,12,4,7,2,5,7,9,2,7,9,0,2,1,3,6,1,0,15
6,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Henrique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Michael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Gegê,21.4,3,1,9,3,1,3,0,0,0,0,1,0,1,2,1,0,1,1,2,0,4
9,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Léo Meindl,36.55,18,6,24,7,1,2,5,5,5,8,1,4,5,2,0,1,1,8,2,0,11
10,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Jaú,7.51,5,2,9,4,1,1,1,3,0,0,0,2,2,0,0,0,2,0,1,0,5
11,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,-2
12,2016,Bauru,Macaé Basquete,04/04/2017 19:30,1ª RODADA,OITAVAS,fora,vitória,10,Equipe,198.0,80,25,170,55,10,30,15,25,20,30,11,29,40,20,6,2,17,26,12,0,68
