,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Pedro,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Jefferson,12.32,0,0,6,2,0,2,0,0,0,0,1,0,1,2,0,0,4,0,0,0,1
2,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Pilar,28.19,10,4,19,8,2,3,2,5,0,0,3,2,5,4,0,0,3,0,1,1,6
3,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Paulo,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Deryk,31.44,20,8,38,15,2,6,6,9,2,2,1,1,2,1,3,0,2,2,3,0,18
5,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Alex,23.01,11,4,21,8,1,3,3,5,2,2,1,0,1,1,0,0,3,2,1,1,9
6,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Fulvio,32.2,8,3,19,7,2,5,1,2,0,0,2,3,5,5,1,0,2,4,3,0,8
7,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Giovannoni,34.17,5,2,19,7,0,3,2,4,1,2,1,10,11,2,0,0,4,3,2,0,9
8,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,João,4.01,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,2
9,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Lucas Mariano,31.01,19,6,30,11,3,3,3,8,4,5,0,5,5,0,0,1,4,3,2,0,15
10,2016,Brasília,Bauru,22/04/2017 19:00,1ª RODADA,QUARTAS,casa,derrota,-4,Iago,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
