,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Keyron,34.49,5,1,23,7,1,5,0,2,2,4,0,3,3,4,2,0,4,4,0,0,9
1,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Arthur,28.14,12,5,22,8,1,4,4,4,1,2,0,5,5,2,1,0,1,4,2,0,11
2,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Murilo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Renato,27.14,13,5,30,12,2,4,3,8,1,2,1,5,6,1,0,0,4,2,1,0,13
4,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Braga,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Assunção,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Dawkins,40.52,17,7,35,14,2,5,5,9,1,2,0,2,2,5,1,0,0,3,2,0,17
7,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Edu Mariano,16.04,10,4,15,6,1,1,3,5,1,2,1,4,5,1,1,0,2,1,1,0,7
8,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Kurtz,22.01,11,3,24,9,0,0,3,9,5,6,4,5,9,2,0,1,5,5,1,0,8
9,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,André,25.04,12,3,25,9,2,3,1,6,4,4,0,0,0,3,3,0,1,2,0,0,11
10,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Coimbra,15.36,0,0,2,1,0,0,0,1,0,0,1,1,2,1,0,0,2,0,0,0,0
11,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Hayes,22.53,2,1,13,5,0,3,1,2,0,0,1,4,5,1,0,0,5,0,2,0,6
12,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
13,2016,Vitória,Mogi das Cruzes,02/05/2017 19:30,4ª RODADA,QUARTAS,casa,vitória,2,Equipe,233.0,82,29,189,71,9,25,20,46,15,22,8,32,40,20,8,1,25,21,9,0,81
0,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Tyrone,34.16,15,4,36,11,3,8,1,3,4,6,3,6,9,1,1,0,4,5,2,0,12
1,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Larry,35.46,8,2,31,11,2,7,0,4,2,2,0,3,3,5,2,0,1,1,2,0,14
2,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Elinho,6.02,0,0,5,2,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2
3,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Gerson,8.05,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1
4,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Vithinho,4.24,2,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
5,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Fabricio,21.01,12,3,23,7,2,5,1,2,4,4,2,3,5,4,1,0,1,3,0,0,7
6,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Filipin,21.34,17,4,29,8,4,8,0,0,5,5,0,3,3,1,1,0,3,3,0,0,10
7,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,C. Torres,25.15,13,4,35,12,1,5,3,7,4,6,1,6,7,0,0,0,3,5,4,0,17
8,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Jimmy,27.32,9,2,28,9,1,5,1,4,4,5,2,1,3,0,0,0,4,3,0,0,9
9,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Shamell,41.05,4,2,26,10,0,6,2,4,0,0,2,7,9,5,1,0,4,4,3,0,11
10,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,-2
11,2016,Mogi das Cruzes,Vitória,02/05/2017 19:30,4ª RODADA,QUARTAS,fora,derrota,-2,Equipe,224.0,80,22,217,72,13,45,9,27,23,28,12,33,45,17,7,0,22,25,13,0,84
