,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,David Jackson,39.2,26,10,36,14,4,6,6,8,2,2,0,3,3,4,1,0,1,3,0,0,15
1,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Nezinho,31.9,22,6,42,13,5,11,1,2,5,5,1,3,4,7,1,0,1,5,6,0,20
2,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Hélio,18.9,11,4,17,6,3,5,1,1,0,0,0,1,1,3,4,0,3,0,5,0,11
3,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Murilo,33.3,11,4,17,6,1,1,3,5,2,4,2,3,5,1,0,0,4,4,5,1,11
4,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Márcio,15.1,9,2,14,4,1,2,1,2,4,4,1,1,2,2,1,0,3,2,1,0,6
5,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Wagner,19.1,7,3,9,4,0,0,3,4,1,1,2,3,5,2,1,0,2,1,0,0,2
6,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,B. Fiorotto,20.9,5,2,8,3,0,0,2,3,1,2,1,11,12,3,0,0,3,1,2,1,5
7,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Palacios,14.0,3,1,5,2,1,1,0,1,0,0,0,2,2,2,0,0,0,0,2,0,4
8,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Drudi,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Marcellus,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Gaúcho,6.0,0,0,5,2,0,1,0,1,0,0,0,0,0,0,1,0,2,1,1,0,3
11,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,Vasco da Gama,Mogi das Cruzes,18/11/2016 20:00,4ª RODADA,1º TURNO,casa,vitória,24,Equipe,200.0,94,32,153,54,15,27,17,27,15,18,8,29,37,24,9,0,19,17,23,2,76
0,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Shamell,34.2,28,9,40,14,5,7,4,7,5,5,1,2,3,3,5,0,1,4,3,0,18
1,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Tyrone Curnell,29.6,14,5,35,13,0,3,5,10,4,6,2,5,7,1,2,0,5,7,1,1,14
2,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Jimmy,30.5,12,4,20,7,2,4,2,3,2,2,4,1,5,1,3,0,1,4,2,1,6
3,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Fer Calvi,26.8,7,3,23,9,1,5,2,4,0,0,1,2,3,1,0,0,1,1,1,0,9
4,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Fabricio,15.6,5,2,13,5,1,3,1,2,0,0,0,0,0,0,0,0,3,0,0,0,5
5,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Elinho,18.1,2,1,7,3,0,1,1,2,0,0,0,0,0,5,1,0,1,1,1,0,4
6,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Filipin,13.6,2,0,16,5,0,4,0,1,2,2,1,0,1,0,0,0,2,2,1,0,6
7,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Larry Taylor,24.7,0,0,13,6,0,1,0,5,0,0,0,0,0,1,2,0,2,0,2,0,8
8,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Caio Torres,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Vithinho,6.9,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,1,0,1
10,2016,Mogi das Cruzes,Vasco da Gama,18/11/2016 20:00,4ª RODADA,1º TURNO,fora,derrota,-24,Equipe,200.0,70,24,167,62,9,28,15,34,13,15,11,15,26,13,13,0,17,19,13,2,70
