,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Jefferson,26.0,23,9,46,18,5,10,4,8,0,0,3,6,9,1,1,0,2,0,1,0,16
1,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Hettsheimeir,23.7,20,8,38,15,2,6,6,9,2,2,3,7,10,1,0,0,3,5,3,0,16
2,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Gui Deodato,27.9,16,7,26,10,0,2,7,8,2,4,0,5,5,2,1,0,3,3,0,1,12
3,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Gabriel Jaú,13.4,8,3,21,6,0,2,3,4,2,7,1,4,5,0,0,1,3,4,0,0,8
4,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Henrique,15.5,6,2,15,5,1,3,1,2,1,2,3,0,3,1,0,0,1,1,2,0,5
5,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Gui Bento,3.2,3,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
6,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Gegê,28.2,2,0,13,4,0,3,0,1,2,2,0,2,2,6,1,0,2,1,1,0,6
7,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Pierotti,11.9,2,1,5,2,0,1,1,1,0,0,0,0,0,3,0,0,1,0,1,0,3
8,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Valtinho,33.3,2,1,9,4,0,1,1,3,0,0,3,2,5,8,2,0,0,2,2,0,3
9,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Michael,3.2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Shilton,13.7,0,0,2,1,0,0,0,1,0,0,1,3,4,0,2,0,3,2,2,0,2
11,2016,Bauru,KTO Caxias do Sul,01/12/2016 20:00,7ª RODADA,1º TURNO,casa,vitória,18,Equipe,200.0,82,32,183,68,9,30,23,38,9,17,15,30,45,22,7,2,19,18,12,1,72
0,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Vinícius,29.8,14,5,29,11,1,3,4,8,3,4,1,1,2,4,0,0,2,2,1,0,13
1,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Arthur,34.1,13,6,25,12,1,1,5,11,0,0,1,6,7,0,1,0,3,4,1,0,12
2,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Guto,40.0,11,4,19,7,3,5,1,2,0,0,1,1,2,0,0,1,2,1,1,0,7
3,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,R. Stabile,19.6,11,4,25,9,0,4,4,5,3,3,0,1,1,2,1,0,5,5,1,0,11
4,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Vinicius,24.8,7,1,23,8,0,1,1,7,5,6,2,1,3,2,1,0,4,4,1,0,9
5,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Douglas,13.7,5,2,14,5,1,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,7
6,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Vieira,4.6,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,2
7,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Rech,13.4,1,0,4,1,0,0,0,1,1,2,0,5,5,1,1,0,1,1,0,0,2
8,2016,KTO Caxias do Sul,Bauru,01/12/2016 20:00,7ª RODADA,1º TURNO,fora,derrota,-18,Diego,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
