,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Scaglia,3.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Bennett,28.59,13,6,20,9,1,2,5,7,0,0,0,1,1,3,2,0,1,2,2,0,11
2,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Ruivo,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Gemerson,23.4,11,4,20,7,2,4,2,3,1,2,1,4,5,0,0,1,1,1,2,0,9
4,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Mathias,12.23,9,3,10,3,0,0,3,3,3,4,2,0,2,0,1,0,1,4,0,2,3
5,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Ansaloni,31.15,8,4,16,8,0,0,4,8,0,0,3,4,7,5,1,1,3,1,3,2,8
6,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Teichmann,7.15,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,4,1,1,0,1
7,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Renan,29.01,14,6,25,10,0,3,6,7,2,2,0,2,2,2,0,1,2,2,3,3,14
8,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Neto,24.17,9,3,25,9,1,5,2,4,2,2,0,5,5,3,2,0,0,3,2,0,12
9,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Holloway,33.5,16,7,30,12,0,3,7,9,2,3,2,2,4,6,1,0,0,5,2,0,13
10,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Sena,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Arthur,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,-1
13,2016,Pinheiros,Liga Sorocabana,10/12/2016 19:00,7ª RODADA,1º TURNO,casa,vitória,17,Equipe,198.0,80,33,146,58,4,17,29,41,10,13,9,26,35,19,8,4,12,19,17,7,71
0,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Lucas,13.27,0,0,9,4,0,1,0,3,0,0,1,1,2,0,0,0,1,0,1,0,4
1,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,J. Sobral,10.08,6,3,16,7,0,2,3,5,0,0,1,0,1,0,3,0,3,0,2,1,8
2,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Castellon,20.48,14,5,30,11,2,4,3,7,2,4,0,0,0,0,0,0,2,3,2,0,15
3,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Maique,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Bruno,34.52,3,1,12,4,1,4,0,0,0,0,2,2,4,3,3,0,3,1,3,0,5
5,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Victor,2.38,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Luisinho,9.27,1,0,4,1,0,1,0,0,1,1,0,0,0,2,0,0,3,0,2,0,3
7,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Leandro,3.05,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-1
8,2016,Liga Sorocabana,Pinheiros,10/12/2016 19:00,7ª RODADA,1º TURNO,fora,derrota,-17,Alexandre,35.15,15,6,37,16,0,1,6,15,3,4,8,6,14,1,3,0,2,4,2,0,12
