,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Gui Deodato,33.03,9,3,21,8,3,5,0,3,0,0,1,5,6,3,1,1,2,2,2,0,9
1,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Shilton,4.03,0,0,4,1,0,0,0,1,0,2,2,0,2,0,0,0,1,1,0,0,0
2,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Stefano,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Valtinho,28.36,4,1,8,3,0,0,1,3,2,2,0,1,1,6,2,0,2,3,1,0,5
4,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Jefferson,30.46,12,5,27,11,2,5,3,6,0,0,1,6,7,1,2,1,3,0,2,0,12
5,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Henrique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Bento,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Michael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Gegê,31.04,2,1,10,4,0,2,1,2,0,0,0,1,1,7,1,0,2,2,3,0,7
9,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Léo Meindl,31.11,16,5,20,6,2,3,3,3,4,5,1,0,1,2,1,1,2,2,3,0,10
10,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Jaú,7.55,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,1,0,1
11,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Hettsheimeir,32.52,32,11,64,23,3,9,8,14,7,9,1,3,4,1,0,0,3,7,1,2,27
12,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Ações coletivas,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,-2
13,2016,Bauru,Minas,20/12/2016 19:30,11ª RODADA,1º TURNO,casa,derrota,-11,Equipe,198.0,75,26,154,56,10,24,16,32,13,18,8,21,29,20,7,3,18,17,14,2,69
0,2016,Minas,Bauru,20/12/2016 19:30,11ª RODADA,1º TURNO,fora,vitória,11,Big,21.52,7,3,10,4,0,0,3,4,1,2,2,5,7,2,0,0,2,1,2,2,5
1,2016,Minas,Bauru,20/12/2016 19:30,11ª RODADA,1º TURNO,fora,vitória,11,Panunzio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,Minas,Bauru,20/12/2016 19:30,11ª RODADA,1º TURNO,fora,vitória,11,P. Macedo,12.56,12,4,18,6,4,6,0,0,0,0,0,1,1,0,0,0,2,0,1,0,7
3,2016,Minas,Bauru,20/12/2016 19:30,11ª RODADA,1º TURNO,fora,vitória,11,Paulinho,26.25,7,3,21,8,0,2,3,6,1,3,1,3,4,1,0,0,3,3,3,0,11
4,2016,Minas,Bauru,20/12/2016 19:30,11ª RODADA,1º TURNO,fora,vitória,11,Mosso,34.11,15,5,34,13,3,6,2,7,2,2,1,4,5,3,0,1,2,1,1,0,14
