,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Nesbitt,30.0,17,5,29,9,3,5,2,4,4,6,2,4,6,4,3,0,5,3,1,0,10
1,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Deryk,21.5,15,6,28,11,1,4,5,7,2,2,0,2,2,3,0,0,0,1,1,0,13
2,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Elinho,26.2,15,6,18,7,3,4,3,3,0,0,0,1,1,6,0,0,3,5,4,0,11
3,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Fuller,23.6,13,5,29,11,3,7,2,4,0,0,0,1,1,0,1,0,1,1,1,0,12
4,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Hubner,17.2,7,3,10,4,1,2,2,2,0,0,1,5,6,1,0,0,0,0,1,0,4
5,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Vitão,10.5,6,2,8,3,2,2,0,1,0,0,0,1,1,0,1,0,3,0,0,0,3
6,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Eddy,6.0,5,1,14,5,1,2,0,3,2,2,1,0,1,1,1,0,0,1,0,0,5
7,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Yago,16.7,5,1,17,5,0,3,1,2,3,4,1,0,1,4,1,0,1,4,2,0,8
8,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Du Sommer,20.4,3,1,15,6,1,3,0,3,0,0,1,3,4,0,1,1,4,1,1,0,6
9,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Jhonatan,27.9,2,0,9,3,0,1,0,2,2,2,2,4,6,3,0,0,2,3,1,0,3
10,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Gemadinha,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Alex,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,Paulistano,Sesi Franca,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,casa,vitória,14,Equipe,200.0,88,30,177,64,15,33,15,31,13,16,10,22,32,22,8,1,19,19,12,0,72
0,2017,Sesi Franca,Paulistano,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,fora,derrota,-14,Léo Meindl,26.3,15,5,29,10,0,2,5,8,5,7,4,4,8,4,1,1,3,8,3,0,12
1,2017,Sesi Franca,Paulistano,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,fora,derrota,-14,Didi,21.2,14,6,28,12,2,4,4,8,0,0,2,1,3,0,0,0,4,0,1,0,11
2,2017,Sesi Franca,Paulistano,22/01/2018 19:30,CAP 88  X  74 VER RELATÓRIO  FRA,2º TURNO,fora,derrota,-14,Coelho,18.1,10,4,15,6,2,3,2,3,0,0,0,1,1,1,0,1,3,1,3,0,9
