,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Lucas Mariano,24.7,23,9,38,14,0,3,9,11,5,7,3,4,7,2,1,0,1,7,2,1,16
1,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Giovannoni,34.7,18,6,24,8,3,4,3,4,3,4,0,4,4,5,1,0,1,3,1,0,11
2,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,G. Basílio,31.5,18,7,42,15,1,8,6,7,3,4,1,3,4,4,1,0,2,4,0,0,16
3,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Renato,15.1,11,4,18,6,0,1,4,5,3,5,2,2,4,5,0,0,4,3,0,0,6
4,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Dedé,23.8,9,3,17,6,2,3,1,3,1,2,1,2,3,3,0,0,4,1,0,0,6
5,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Fúlvio,26.9,8,2,14,5,0,0,2,5,4,4,1,2,3,7,0,0,4,2,1,0,7
6,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Hayes,16.6,6,3,15,7,0,1,3,6,0,0,1,1,2,2,0,0,2,0,1,0,7
7,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Nezinho,25.4,3,1,16,6,1,4,0,2,0,0,1,3,4,2,1,0,3,0,5,0,10
8,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,David Jackson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Alexei Patrício,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Bruninho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,L. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,Vasco da Gama,Fortaleza Basquete,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,casa,vitória,4,Equipe,200.0,96,35,184,67,7,24,28,43,19,26,11,22,33,30,4,0,22,20,10,1,76
0,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Paulinho,32.5,27,7,37,10,4,6,3,4,9,11,1,3,4,4,0,0,1,9,1,0,14
1,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Davi,39.4,23,7,42,13,4,9,3,4,5,7,0,5,5,12,3,0,3,4,2,0,18
2,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Rashaun,34.6,15,5,29,10,5,9,0,1,0,0,0,3,3,3,0,0,5,1,0,0,10
3,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Felipe,34.4,14,6,27,11,2,5,4,6,0,0,2,5,7,1,1,0,2,2,1,0,10
4,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Sualisson,11.9,6,2,11,4,0,1,2,3,2,2,1,2,3,1,1,0,1,1,2,0,6
5,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Leonardo,22.7,3,1,10,4,0,0,1,4,1,2,0,2,2,0,0,0,2,2,3,0,8
6,2017,Fortaleza Basquete,Vasco da Gama,08/02/2018 20:00,BOT 94  X  74 VER RELATÓRIO  VIT,2º TURNO,fora,derrota,-4,Leal,8.7,2,1,10,4,0,0,1,4,0,2,0,1,1,1,0,0,5,2,1,0,6
