,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Pastor,30.7,18,6,36,12,4,8,2,4,2,4,1,5,6,0,0,0,2,2,2,0,15
1,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Giano,32.6,16,4,43,14,1,6,3,8,7,9,1,2,3,6,1,0,0,6,2,0,19
2,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Brown,33.6,12,5,32,14,1,2,4,12,1,2,0,4,4,4,1,0,1,2,1,1,16
3,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Jones,23.1,11,4,24,9,2,5,2,4,1,1,0,1,1,0,0,0,3,1,0,0,9
4,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Mathias,32.8,6,2,11,4,0,1,2,3,2,2,6,8,14,3,0,1,3,1,2,0,1
5,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,César,26.0,5,2,18,7,1,4,1,3,0,0,0,1,1,1,0,1,1,1,1,0,8
6,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Lucas,13.7,3,1,6,2,1,2,0,0,0,0,1,3,4,1,0,0,0,1,2,0,3
7,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Solano,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Rapha,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Biro,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Bertolin,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Wesley,6.3,0,0,3,1,0,1,0,0,0,0,0,2,2,0,1,0,1,1,0,0,1
12,2017,VipTech CMB,Botafogo,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,casa,vitória,11,Equipe,200.0,71,24,173,63,10,29,14,34,13,18,11,29,40,15,3,2,11,15,11,1,70
0,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Tatum,33.4,18,7,39,15,2,5,5,10,2,4,2,3,5,6,3,0,1,3,1,0,16
1,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Douglas,29.6,14,5,20,7,1,3,4,4,3,3,1,3,4,1,0,0,0,2,2,0,9
2,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,R. Bahia,17.9,11,5,21,9,1,2,4,7,0,1,1,1,2,2,1,0,4,1,0,0,8
3,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Gabriel,17.5,6,2,23,9,0,3,2,6,2,2,0,0,0,0,0,0,4,1,0,0,10
4,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Coimbra,22.1,5,2,15,6,0,1,2,5,1,2,2,4,6,1,1,1,1,4,1,0,6
5,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Guga,33.9,4,2,23,10,0,3,2,7,0,0,2,7,9,4,0,0,1,0,3,0,11
6,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Fabrício,29.0,2,1,12,5,0,2,1,3,0,0,0,6,6,1,1,0,4,0,0,0,5
7,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Roberto,5.4,0,0,2,1,0,0,0,1,0,0,1,1,2,0,1,0,0,0,1,0,1
8,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Dos Santos,8.1,0,0,6,3,0,0,0,3,0,0,1,3,4,0,0,0,1,0,0,0,2
9,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Guapi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,Botafogo,VipTech CMB,27/02/2018 19:30,CAX 67  X  60 VER RELATÓRIO  CEA,2º TURNO,fora,derrota,-11,Equipe,197.0,60,24,161,65,4,19,20,46,8,12,12,30,42,15,7,1,16,11,10,0,68
