,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,David Jackson,29.1,18,6,25,8,4,6,2,2,2,3,0,7,7,3,0,0,2,2,2,0,11
1,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Giovannoni,22.2,15,6,30,11,1,6,5,5,2,2,0,1,1,3,1,0,0,1,0,0,12
2,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Lucas Mariano,26.1,14,7,22,10,0,1,7,9,0,1,3,2,5,2,0,0,0,1,0,1,7
3,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,G. Basílio,25.2,14,6,30,12,0,4,6,8,2,2,2,6,8,3,1,0,3,2,5,0,16
4,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Gui Deodato,19.7,9,3,19,6,2,5,1,1,1,2,0,3,3,1,1,0,0,2,2,0,9
5,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Hayes,16.0,6,1,10,3,0,0,1,3,4,4,0,3,3,1,1,0,2,2,1,0,6
6,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Nezinho,15.6,3,1,12,4,1,4,0,0,0,0,0,1,1,5,1,0,1,2,1,0,5
7,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Renato,13.3,3,1,9,4,1,1,0,3,0,0,2,1,3,0,0,0,3,1,0,0,2
8,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Fúlvio,27.8,1,0,11,3,0,3,0,0,1,2,0,3,3,6,5,0,2,3,1,0,5
9,2017,Vasco da Gama,Joinville   AABJ ,08/03/2018 19:30,PIN 67  X  78 VER RELATÓRIO  FLA,2º TURNO,casa,vitória,27,Dedé,3.3,0,0,6,2,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
