,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Betinho,33.8,25,8,47,15,5,10,3,5,4,7,0,6,6,0,1,0,4,7,0,0,18
1,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Sualisson,23.0,13,5,20,7,1,2,4,5,2,4,0,2,2,1,1,0,5,3,2,1,11
2,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Davi,40.0,12,3,46,16,1,8,2,8,5,6,1,7,8,2,3,0,3,4,1,0,18
3,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Paulinho,15.7,11,4,19,7,1,3,3,4,2,2,1,2,3,3,0,0,1,3,2,0,9
4,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Leonardo,24.7,8,4,14,6,0,0,4,6,0,2,6,8,14,1,0,2,4,1,4,0,5
5,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Rashaun,31.6,3,1,18,7,1,4,0,3,0,0,0,2,2,0,0,1,2,3,0,0,7
6,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Felipe,13.7,2,1,11,4,0,3,1,1,0,0,0,1,1,0,1,0,2,0,0,0,4
7,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Leal,8.6,1,0,4,1,0,0,0,1,1,2,2,2,4,0,0,0,2,1,1,0,1
8,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Armani,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,J. Gabriel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,W. Guilherme,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,Fortaleza Basquete,Sesi Franca,10/03/2018 18:00,PIN 62  X  64 VER RELATÓRIO  MIN,2º TURNO,casa,vitória,2,Felipe,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
