,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Fuller,25.3,13,4,35,12,2,7,2,5,3,4,0,2,2,0,0,0,0,2,0,0,14
1,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Yago,18.2,12,4,30,10,3,8,1,2,1,2,1,3,4,2,1,0,4,3,0,0,10
2,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Nesbitt,27.8,11,4,37,14,3,9,1,5,0,0,3,2,5,1,0,0,2,2,3,0,14
3,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Deryk,22.8,7,2,23,8,2,6,0,2,1,1,0,0,0,3,1,0,1,1,2,0,10
4,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Du Sommer,12.9,6,3,10,5,0,0,3,5,0,0,1,0,1,0,2,3,2,2,1,0,5
5,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Lucas Dias,26.8,5,2,16,6,0,2,2,4,1,2,2,0,2,1,2,1,2,3,1,0,6
6,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Hubner,20.3,3,1,16,6,1,4,0,2,0,0,1,3,4,0,1,0,4,2,0,0,5
7,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Elinho,26.3,2,1,9,4,0,1,1,3,0,0,0,8,8,6,0,1,2,1,2,0,6
8,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Eddy,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Vitão,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Jhonatan,18.1,0,0,9,3,0,3,0,0,0,0,0,6,6,0,0,0,0,0,1,0,4
11,2017,Paulistano,Bauru,04/05/2018 20:00,FLA 74  X  88 VER RELATÓRIO  MOG,SEMI,casa,derrota,-11,Alex,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
