,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Giovannoni,26.7,15,6,24,9,1,3,5,6,2,3,1,6,7,0,1,0,3,4,1,0,10
1,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,David Jackson,30.6,13,5,16,6,2,3,3,3,1,1,1,7,8,7,0,0,2,4,2,0,7
2,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Nezinho,21.8,12,3,27,8,1,5,2,3,5,6,0,1,1,9,1,0,3,3,3,0,13
3,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Gui Deodato,29.1,11,4,16,6,1,2,3,4,2,2,0,1,1,1,1,1,2,1,0,0,7
4,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Lucas Mariano,26.0,11,5,27,12,1,3,4,9,0,0,1,0,1,1,1,2,4,0,3,0,14
5,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,G. Basílio,26.6,10,3,21,7,2,3,1,4,2,4,1,1,2,4,1,0,3,2,0,0,8
6,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Renato,18.3,6,3,10,5,0,0,3,5,0,0,2,4,6,1,1,0,0,1,1,0,4
7,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Dedé,8.5,5,2,8,3,1,2,1,1,0,0,1,3,4,0,0,0,2,1,1,0,3
8,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Hayes,7.3,1,0,5,1,0,1,0,0,1,2,1,0,1,2,0,0,0,2,0,0,1
9,2017,Vasco da Gama,VipTech CMB,21/12/2017 20:00,VAS 84  X  59 VER RELATÓRIO  CMO,1º TURNO,casa,vitória,25,Fúlvio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
