,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Cauê,34.6,30,11,39,15,5,6,6,9,3,3,0,8,8,4,2,0,1,4,3,0,19
1,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Vinicius,26.5,9,3,18,6,0,2,3,4,3,4,2,5,7,1,1,0,4,5,4,1,10
2,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Paranhos,22.4,8,4,17,8,0,0,4,8,0,1,1,4,5,0,2,0,2,1,1,1,8
3,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Cauê,27.8,8,3,29,11,2,7,1,4,0,0,1,7,8,4,1,1,2,2,5,0,15
4,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Alex,29.3,6,2,34,13,0,6,2,7,2,2,3,1,4,4,1,0,2,2,0,0,11
5,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Buboltz,12.8,4,1,8,2,1,2,0,0,1,2,0,1,1,1,2,0,2,3,1,0,4
6,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Cafferata,18.4,4,1,5,1,1,1,0,0,1,2,0,3,3,2,0,0,4,1,1,0,3
7,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Nandão,6.7,3,1,3,1,0,0,1,1,1,1,0,1,1,0,0,0,2,1,0,0,1
8,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Jonathan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Pedro,15.4,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,3,0,3,0,4
10,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Jonas,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,KTO Caxias do Sul,Joinville   AABJ ,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,casa,vitória,9,Equipe,194.0,72,26,155,58,9,24,17,34,11,15,8,33,41,16,9,1,23,19,19,2,75
0,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Vezaro,36.8,15,4,33,10,4,9,0,1,3,4,0,3,3,1,0,0,2,3,0,0,12
1,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,A. Bambu,33.5,12,5,28,11,2,6,3,5,0,0,2,6,8,0,0,0,3,2,4,0,13
2,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Stocks,36.0,10,5,32,14,0,2,5,12,0,2,0,5,5,3,5,0,5,4,3,0,18
3,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Colimerio,15.4,9,4,12,5,0,0,4,5,1,2,2,4,6,1,1,0,1,1,1,1,5
4,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Vezarinho,17.4,8,2,22,7,1,4,1,3,3,4,1,1,2,1,0,0,2,3,1,0,9
5,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Johnson,23.8,7,1,22,7,0,2,1,5,5,6,0,1,1,1,1,0,4,5,0,1,9
6,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,J. Socas,24.1,2,1,13,5,0,3,1,2,0,0,0,4,4,1,2,1,1,3,1,1,6
7,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Tiagão,10.6,0,0,6,2,0,2,0,0,0,0,0,1,1,0,0,0,2,0,2,0,4
8,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Weihermann,2.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Dieguinho,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2017,Joinville   AABJ ,KTO Caxias do Sul,28/12/2017 20:05,CAX 72  X  63 VER RELATÓRIO  JLE,1º TURNO,fora,derrota,-9,Equipe,200.0,63,22,168,61,7,28,15,33,12,18,8,26,34,9,9,1,20,21,13,3,73
