,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Stocks,40.0,27,9,52,17,2,6,7,11,7,12,1,4,5,3,5,0,3,9,2,0,23
1,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,A. Bambu,37.4,14,4,30,11,4,6,0,5,2,2,2,5,7,1,2,0,1,4,1,0,11
2,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Vezaro,30.6,11,4,26,9,2,5,2,4,1,3,1,3,4,1,1,0,2,3,1,0,10
3,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,J. Socas,33.0,8,4,29,12,0,5,4,7,0,0,2,4,6,4,4,0,2,0,0,0,10
4,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Tiagão,24.5,6,1,17,5,1,3,0,2,3,4,0,4,4,0,0,0,1,3,0,0,7
5,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Jerônimo,7.2,2,1,2,1,0,0,1,1,0,0,1,1,2,0,0,1,3,0,1,0,1
6,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Maxwell,11.1,0,0,5,2,0,1,0,1,0,0,1,2,3,0,0,1,4,0,1,0,2
7,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Vezarinho,8.9,0,0,7,2,0,1,0,1,0,2,1,1,2,2,1,0,0,1,2,0,4
8,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Colimerio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Weihermann,3.1,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
10,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Johnson,4.4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
11,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Dieguinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,Joinville   AABJ ,Botafogo,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,casa,vitória,5,Equipe,200.0,68,23,176,62,9,29,14,33,13,23,10,25,35,11,13,2,20,20,9,0,70
0,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Coimbra,36.6,22,9,39,15,0,4,9,11,4,5,6,3,9,2,2,0,1,5,2,1,13
1,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Guga,33.1,11,4,26,10,2,4,2,6,1,2,0,5,5,2,0,0,3,3,4,0,15
2,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Tatum,26.6,8,2,27,9,1,6,1,3,3,3,0,2,2,1,1,0,3,2,4,0,14
3,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,R. Bahia,18.0,6,3,13,6,0,1,3,5,0,0,1,5,6,0,1,0,3,3,3,0,8
4,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Gabriel,16.8,6,2,22,7,0,3,2,4,2,5,0,1,1,0,0,0,3,3,1,0,10
5,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Fabrício,25.5,6,2,12,5,0,0,2,5,2,2,0,5,5,0,1,1,4,1,3,0,9
6,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Dos Santos,13.1,3,1,4,1,0,0,1,1,1,2,1,4,5,1,0,1,0,1,1,0,2
7,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Douglas,18.5,1,0,5,1,0,1,0,0,1,2,0,2,2,2,0,0,2,1,0,0,2
8,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Smith,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Varela,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Roberto,11.4,0,0,2,1,0,0,0,1,0,0,0,5,5,0,0,0,2,1,0,0,1
11,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Guapi,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,Botafogo,Joinville   AABJ ,10/01/2018 20:00,JLE 68  X  63 VER RELATÓRIO  BOT,1º TURNO,fora,derrota,-5,Equipe,200.0,63,23,150,55,3,19,20,36,14,21,9,32,41,8,5,2,21,20,18,1,72
