,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Humberto,23.5,17,5,26,8,0,3,5,5,7,7,0,0,0,0,2,0,4,4,1,0,12
1,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Parodi,26.5,13,5,31,11,2,7,3,4,1,2,0,1,1,2,3,0,2,4,3,0,15
2,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Fuller,29.3,13,3,33,11,0,3,3,8,7,8,0,0,0,2,0,0,2,3,3,0,17
3,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Aguiar,17.3,8,2,14,4,1,2,1,2,3,4,1,0,1,1,1,0,1,2,3,0,8
4,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Giovannoni,24.6,6,2,12,5,0,0,2,5,2,2,0,5,5,0,1,0,1,1,0,0,6
5,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Teichmann,13.5,4,2,4,2,0,0,2,2,0,0,0,1,1,0,0,0,3,0,1,0,3
6,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Shilton,22.8,4,2,8,4,0,0,2,4,0,0,2,4,6,2,0,0,5,4,0,0,2
7,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Gustavinho,11.3,2,1,14,6,0,2,1,4,0,0,0,1,1,0,2,0,2,0,1,0,7
8,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Douglas Santos,9.9,1,0,2,0,0,0,0,0,1,2,1,1,2,0,1,1,2,1,0,0,0
9,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Abner,8.7,0,0,8,4,0,0,0,4,0,0,0,3,3,1,1,0,1,1,0,0,4
10,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Nicolas Ronsini,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Gui Bento,10.3,0,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
12,2018,Corinthians,Flamengo,12/01/2019 14:00,10ª SEMANA,2º TURNO,casa,derrota,-23,Equipe,200.0,68,22,161,58,3,20,19,38,21,25,6,18,24,8,11,1,25,20,14,0,76
0,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Marquinhos,26.4,22,7,33,11,2,3,5,8,6,8,2,2,4,4,0,0,2,5,1,1,13
1,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Balbi,16.2,19,8,27,11,3,5,5,6,0,0,0,2,2,7,4,0,3,1,1,0,12
2,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Varejão,20.7,11,2,18,5,0,1,2,4,7,7,1,8,9,1,0,0,1,4,1,0,8
3,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Deryk,24.9,10,4,15,6,2,3,2,3,0,0,0,0,0,1,0,0,3,1,4,0,10
4,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Nesbitt,19.4,10,4,14,5,1,2,3,3,1,2,2,2,4,1,0,0,1,4,0,3,4
5,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Crescenzi,7.6,5,2,8,3,1,2,1,1,0,0,0,2,2,0,0,0,2,0,2,0,5
6,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Davi,25.0,5,2,12,5,0,1,2,4,1,1,0,1,1,2,1,0,1,2,5,0,10
7,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Jhonatan,16.5,3,1,3,1,1,1,0,0,0,0,1,1,2,1,1,0,4,2,2,0,2
8,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Mineiro,19.2,2,1,8,3,0,0,1,3,0,2,0,4,4,2,0,0,2,2,0,0,4
9,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Ruan,2.2,2,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
10,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Olivinha,17.6,2,1,8,4,0,0,1,4,0,0,0,4,4,1,0,0,1,1,0,0,4
11,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Matheusinho,4.3,0,0,5,2,0,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1
12,2018,Flamengo,Corinthians,12/01/2019 14:00,10ª SEMANA,2º TURNO,fora,vitória,23,Equipe,200.0,91,33,155,58,10,19,23,39,15,20,9,28,37,20,6,0,20,23,17,4,74
