,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Gui Deodato,27.5,13,5,22,9,1,2,4,7,2,2,2,3,5,3,1,1,1,2,2,0,10
1,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Shamell,33.1,12,5,35,14,2,7,3,7,0,0,1,1,2,4,0,0,1,1,1,0,14
2,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Pecos,23.7,10,5,25,11,0,3,5,8,0,0,2,2,4,1,3,0,0,1,1,0,10
3,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Batista,31.4,10,4,34,15,0,0,4,15,2,4,11,11,22,3,0,2,1,2,4,0,10
4,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Gruber,34.7,7,3,37,14,0,7,3,7,1,2,0,7,7,1,1,2,3,3,1,2,16
5,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,João Pedro,9.9,6,3,8,3,0,0,3,3,0,2,1,2,3,0,0,1,1,2,0,1,3
6,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Cafferata,14.1,5,2,10,4,1,2,1,2,0,0,0,1,1,1,0,0,0,1,2,0,6
7,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Lessa,5.1,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1
8,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Colina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Filipin,18.6,0,0,6,2,0,2,0,0,0,0,1,0,1,2,1,0,3,1,1,0,2
10,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Lucas,1.8,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
11,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Breno,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,Mogi das Cruzes,Minas,21/01/2019 20:00,12ª SEMANA,2º TURNO,casa,vitória,1,Equipe,200.0,65,28,181,74,4,23,24,51,5,10,19,29,48,16,6,6,13,13,12,3,71
0,2018,Minas,Mogi das Cruzes,21/01/2019 20:00,12ª SEMANA,2º TURNO,fora,derrota,-1,Gegê,34.3,16,6,27,10,2,5,4,5,2,2,0,3,3,2,4,0,2,1,2,0,13
1,2018,Minas,Mogi das Cruzes,21/01/2019 20:00,12ª SEMANA,2º TURNO,fora,derrota,-1,Coleman,34.0,14,5,37,15,3,6,2,9,1,1,0,2,2,0,0,0,3,2,1,0,16
2,2018,Minas,Mogi das Cruzes,21/01/2019 20:00,12ª SEMANA,2º TURNO,fora,derrota,-1,Jefferson,28.9,8,4,26,11,0,4,4,7,0,0,0,1,1,0,3,0,2,0,1,0,12
3,2018,Minas,Mogi das Cruzes,21/01/2019 20:00,12ª SEMANA,2º TURNO,fora,derrota,-1,Paranhos,14.3,6,3,12,6,0,0,3,6,0,0,1,3,4,0,0,0,1,0,1,0,6
4,2018,Minas,Mogi das Cruzes,21/01/2019 20:00,12ª SEMANA,2º TURNO,fora,derrota,-1,Sam Daniel,14.9,6,2,20,7,2,6,0,1,0,0,1,3,4,0,0,0,0,0,0,0,6
