,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Renato,30.8,21,6,38,12,4,8,2,4,5,6,2,3,5,0,0,0,3,5,1,0,13
1,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Betinho,28.1,16,5,32,10,4,8,1,2,2,4,1,1,2,0,1,1,3,4,3,0,14
2,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Bennett,29.1,7,3,18,7,1,3,2,4,0,1,0,5,5,1,0,0,1,2,1,0,8
3,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Isaac,20.9,7,2,16,5,2,4,0,1,1,2,1,1,2,0,0,0,4,3,4,0,9
4,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Toledo,25.8,5,0,13,3,0,1,0,2,5,6,5,3,8,5,0,0,1,4,2,0,2
5,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Dawkins,27.8,4,2,16,7,0,2,2,5,0,0,0,2,2,2,3,0,1,1,2,0,9
6,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Gabriel,12.4,4,1,13,4,1,4,0,0,1,1,0,2,2,2,0,0,2,1,1,0,5
7,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Ware,10.0,3,1,6,2,0,0,1,2,1,2,0,3,3,0,0,0,5,2,1,0,4
8,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Mamedes,2.9,2,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Ruivo,9.1,0,0,4,2,0,0,0,2,0,0,1,1,2,1,0,0,3,2,1,0,2
10,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Sena,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Luan,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,Pinheiros,Botafogo,26/01/2019 18:00,12ª SEMANA,2º TURNO,casa,vitória,2,Equipe,197.0,69,21,158,53,12,30,9,23,15,22,11,25,36,11,4,1,24,24,17,0,68
0,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Ansaloni,29.6,16,5,26,9,2,3,3,6,4,5,5,3,8,1,0,1,5,4,5,0,11
1,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Diego,20.0,12,3,25,7,0,1,3,6,6,10,1,4,5,2,1,0,5,6,1,0,11
2,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Guga,32.0,10,4,20,8,0,2,4,6,2,2,1,1,2,3,0,0,2,4,3,0,11
3,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Coelho,29.4,9,4,25,11,1,3,3,8,0,0,0,2,2,2,1,0,3,2,3,0,14
4,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Mogi,29.7,6,2,23,9,0,3,2,6,2,2,3,1,4,2,1,0,2,4,1,1,8
5,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Arthur,25.8,6,3,9,4,0,1,3,3,0,0,1,4,5,1,1,0,5,1,2,0,5
6,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Smith,24.1,6,2,20,8,0,2,2,6,2,2,1,4,5,2,0,0,2,2,2,0,10
7,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Jackson,8.9,2,1,9,4,0,1,1,3,0,0,0,2,2,0,2,0,1,0,0,0,4
8,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Fabrício,0.5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
9,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Cauê,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Maique,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Botafogo,Pinheiros,26/01/2019 18:00,12ª SEMANA,2º TURNO,fora,derrota,-2,Equipe,200.0,67,24,159,60,3,16,21,44,16,23,16,23,39,13,6,1,25,24,17,1,70
