,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Duda,26.7,22,7,41,14,4,9,3,5,4,4,2,4,6,1,3,0,2,4,1,0,15
1,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Stocks,38.8,14,5,39,15,0,4,5,11,4,5,2,4,6,2,4,0,3,4,3,0,18
2,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Rafa,25.6,13,6,20,9,1,2,5,7,0,0,2,1,3,0,0,0,5,0,4,1,11
3,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Okorie,17.8,9,3,19,6,0,3,3,3,3,4,0,0,0,2,0,0,2,3,2,0,10
4,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Lupa,25.1,6,2,12,4,0,0,2,4,2,4,3,3,6,2,1,0,4,2,1,0,4
5,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Caio Torres,22.2,5,1,18,6,0,2,1,4,3,4,2,4,6,1,0,0,0,2,0,0,6
6,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Vithinho,29.3,5,1,20,7,0,3,1,4,3,3,0,3,3,9,3,0,2,3,3,0,11
7,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Pilar,13.3,4,1,11,4,0,1,1,3,2,2,0,0,0,3,0,0,3,2,0,0,5
8,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Alexei Patrício,1.2,3,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Rafael,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Armani,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Lucão,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,Vasco da Gama,Minas,04/02/2019 20:00,14ª SEMANA,2º TURNO,casa,derrota,-11,Equipe,200.0,81,27,183,66,6,25,21,41,21,26,12,21,33,20,11,0,21,20,14,1,78
0,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Leandrinho,22.6,21,8,35,13,3,4,5,9,2,5,1,2,3,0,2,0,2,4,2,0,16
1,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Coleman,32.7,20,7,33,12,2,5,5,7,4,4,0,1,1,3,1,0,4,2,4,1,18
2,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Gegê,27.8,13,4,17,6,4,4,0,2,1,1,1,5,6,9,1,0,3,1,4,0,9
3,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Wesley,24.3,11,5,18,8,1,2,4,6,0,0,2,3,5,3,0,0,2,2,1,0,7
4,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Paranhos,14.9,8,2,16,5,0,0,2,5,4,6,4,1,5,0,0,0,2,3,1,0,4
5,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Leonardo,24.5,6,0,14,4,0,0,0,4,6,6,1,8,9,3,1,0,2,3,4,0,9
6,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Jefferson,20.4,6,2,14,5,2,4,0,1,0,0,0,1,1,1,2,0,3,3,2,0,7
7,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Sam Daniel,12.7,5,2,17,7,1,3,1,4,0,0,1,3,4,0,1,0,0,0,1,0,7
8,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Lucas Lima,12.2,2,0,4,1,0,0,0,1,2,2,0,2,2,1,0,0,1,2,1,0,3
9,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Bob,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Augusto,7.0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,-1
11,2018,Minas,Vasco da Gama,04/02/2019 20:00,14ª SEMANA,2º TURNO,fora,vitória,11,Equipe,200.0,92,30,168,61,13,22,17,39,19,24,12,28,40,20,8,0,21,20,21,1,80
