,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Paranhos,21.4,18,7,22,8,0,0,7,8,4,6,3,5,8,0,1,0,1,7,1,1,8
1,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Leandrinho,23.0,14,4,41,14,1,7,3,7,5,6,2,3,5,3,1,0,3,3,1,0,15
2,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Wesley,21.6,11,5,23,9,0,3,5,6,1,2,1,5,6,0,1,0,1,2,1,0,10
3,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Jefferson,18.1,7,2,16,5,1,3,1,2,2,3,0,0,0,2,0,0,2,2,1,0,7
4,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Coleman,29.7,7,2,23,8,1,5,1,3,2,2,1,2,3,2,1,0,1,2,2,0,10
5,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Gegê,23.4,6,2,14,5,2,4,0,1,0,0,2,4,6,8,1,0,3,1,4,0,7
6,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Sam Daniel,15.5,6,2,18,6,2,6,0,0,0,0,0,4,4,1,0,0,1,0,0,0,6
7,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Leonardo,12.9,6,1,10,3,0,0,1,3,4,4,2,2,4,2,0,1,1,3,1,0,4
8,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Bob,11.4,5,1,10,3,1,2,0,1,2,2,2,1,3,0,0,0,4,1,0,0,2
9,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Lucas Lima,16.7,4,1,7,2,0,1,1,1,2,2,1,0,1,0,1,0,2,1,1,0,3
10,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Augusto,5.7,2,1,5,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
11,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Gui Santos,0.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2
12,2018,Minas,Sesi Franca,16/02/2019 14:00,15ª SEMANA,2º TURNO,casa,derrota,-17,Equipe,200.0,86,28,189,65,8,32,20,33,22,27,16,27,43,18,6,1,22,22,15,1,75
0,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,David Jackson,28.8,23,7,32,10,3,5,4,5,6,7,0,3,3,3,0,0,2,4,3,0,16
1,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Cipolini,26.0,21,6,38,11,3,8,3,3,6,8,2,2,4,2,1,1,1,4,1,1,13
2,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Lucas Dias,25.2,20,7,33,12,2,5,5,7,4,4,1,1,2,2,0,3,3,3,1,1,14
3,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,André Goes,19.4,11,4,19,7,3,5,1,2,0,0,0,2,2,3,2,0,4,0,1,0,8
4,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Alexey Borges,19.8,10,4,17,7,2,3,2,4,0,0,0,1,1,6,1,0,0,2,1,0,8
5,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Elinho,26.4,7,3,13,5,0,1,3,4,1,2,0,4,4,8,0,0,2,3,2,0,8
6,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Jimmy,26.4,5,2,17,7,1,3,1,4,0,0,2,5,7,1,1,0,4,2,0,0,5
7,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Augusto,5.2,2,1,4,2,0,0,1,2,0,0,0,2,2,0,0,0,2,0,0,1,2
8,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Gui Abreu,4.3,2,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
9,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Didi,17.5,2,0,9,3,0,1,0,2,2,2,1,2,3,1,1,0,4,2,1,0,4
10,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Márcio,1.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
11,2018,Sesi Franca,Minas,16/02/2019 14:00,15ª SEMANA,2º TURNO,fora,vitória,17,Equipe,200.0,103,35,186,66,14,31,21,35,19,23,6,23,29,26,7,4,22,20,10,3,79
