,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Fuller,35.5,27,7,51,16,2,6,5,10,11,13,0,0,0,2,1,0,0,8,1,0,22
1,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Giovannoni,17.0,14,6,23,10,1,2,5,8,1,1,0,2,2,1,1,0,4,1,3,0,13
2,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Aguiar,22.7,13,3,23,7,1,3,2,4,6,6,1,1,2,2,1,0,0,3,1,0,9
3,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Parodi,22.0,11,4,21,8,3,5,1,3,0,0,0,1,1,7,4,0,1,0,3,0,11
4,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Gustavinho,17.7,9,4,19,8,1,3,3,5,0,0,0,4,4,1,0,0,3,0,1,0,9
5,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Humberto,21.5,7,3,26,9,0,6,3,3,1,2,0,4,4,1,0,0,1,1,2,0,12
6,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Douglas Santos,23.0,6,3,13,6,0,1,3,5,0,0,6,5,11,0,0,0,4,2,2,0,2
7,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Abner,10.1,3,1,5,2,0,0,1,2,1,1,1,1,2,2,1,0,0,2,0,0,1
8,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Shilton,12.2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0,1,0,1
9,2018,Corinthians,Mogi das Cruzes,28/02/2019 21:00,17ª SEMANA,2º TURNO,casa,vitória,11,Gui Bento,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
