,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Jimmy,30.3,21,10,28,13,1,2,9,11,0,0,1,3,4,0,2,0,1,0,2,0,14
1,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Cipolini,23.8,13,4,30,11,1,4,3,7,4,4,0,4,4,2,0,0,0,2,1,0,14
2,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Alexey Borges,21.1,11,4,25,10,1,3,3,7,2,2,2,2,4,5,2,0,4,2,0,0,9
3,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,David Jackson,25.1,10,3,26,10,2,4,1,6,2,2,2,2,4,3,4,0,1,5,0,0,9
4,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,André Goes,20.4,8,3,20,7,2,6,1,1,0,0,1,4,5,3,1,0,2,0,1,0,7
5,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Lucas Dias,26.1,7,2,21,8,1,3,1,5,2,2,2,3,5,1,2,1,3,5,2,0,9
6,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Elinho,23.9,5,2,24,9,1,6,1,3,0,0,3,1,4,6,4,0,1,1,0,0,6
7,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Gui Abreu,19.6,5,2,15,5,0,2,2,3,1,1,1,1,2,1,2,2,2,3,0,0,4
8,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Márcio,3.6,2,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
9,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Augusto,2.1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1
10,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Adriano Big,2.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,2
11,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Edu Marília,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
12,2018,Sesi Franca,Corinthians,04/03/2019 18:00,18ª SEMANA,2º TURNO,casa,vitória,23,Equipe,200.0,83,31,193,74,9,30,22,44,12,13,14,25,39,21,18,3,16,19,10,0,75
0,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Parodi,30.2,16,7,28,12,2,4,5,8,0,0,0,7,7,3,0,0,1,2,6,0,18
1,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Fuller,33.3,14,5,35,13,3,7,2,6,1,2,0,2,2,0,1,1,2,3,2,0,16
2,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Aguiar,25.2,11,4,16,6,1,2,3,4,2,2,0,2,2,1,0,0,1,2,2,0,9
3,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Giovannoni,22.2,8,3,24,10,2,4,1,6,0,0,0,7,7,1,0,0,0,1,2,0,12
4,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Shilton,10.8,5,2,10,4,0,0,2,4,1,2,5,1,6,2,0,0,3,4,2,0,2
5,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Gui Bento,10.0,2,1,5,2,0,1,1,1,0,0,0,0,0,1,0,1,2,2,1,1,3
6,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Abner,3.8,2,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,2
7,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Humberto,15.8,2,1,10,4,0,2,1,2,0,0,1,1,2,0,1,0,3,2,0,0,3
8,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Douglas Santos,9.8,0,0,4,2,0,0,0,2,0,0,0,1,1,0,0,2,3,0,1,0,3
9,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Gustavinho,11.7,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4
10,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Teichmann,25.5,0,0,4,1,0,0,0,1,0,0,2,4,6,2,0,1,4,0,2,0,1
11,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Nicolas Ronsini,1.9,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
12,2018,Corinthians,Sesi Franca,04/03/2019 18:00,18ª SEMANA,2º TURNO,fora,derrota,-23,Equipe,200.0,60,24,144,57,8,22,16,35,4,6,9,29,38,11,4,5,20,16,24,2,74
