,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Pedro Teruel,27.8,18,7,25,10,2,3,5,7,2,2,1,1,2,2,0,0,3,2,4,0,14
1,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,D. Nunes,32.7,17,6,33,11,4,7,2,4,1,4,0,7,7,2,0,1,2,2,0,0,13
2,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Schneider,22.1,9,2,23,7,1,4,1,3,4,5,0,3,3,4,1,0,4,2,2,0,11
3,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Sahdi,27.5,8,2,17,5,2,5,0,0,2,2,0,3,3,9,1,0,3,4,5,0,11
4,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Mineiro,14.5,7,3,13,6,0,0,3,6,1,1,0,1,1,1,0,0,3,2,0,0,6
5,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Márcio,26.2,5,1,21,7,1,5,0,2,2,2,2,7,9,1,0,0,2,3,3,0,9
6,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Pastor,23.3,5,2,12,4,0,2,2,2,1,2,1,3,4,3,1,0,3,3,2,0,6
7,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Hélio,13.3,3,1,3,1,1,1,0,0,0,0,1,2,3,1,0,0,2,0,4,0,4
8,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Coimbra,9.2,2,1,8,4,0,0,1,4,0,0,2,1,3,0,1,1,2,0,1,0,3
9,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Eugeniusz,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Dedé,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
11,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Guirro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,São José,Bauru,14/03/2019 20:00,19ª SEMANA,2º TURNO,casa,derrota,-9,Equipe,200.0,74,25,155,55,11,27,14,28,13,18,8,32,40,23,4,2,26,18,24,0,78
0,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Jefferson,29.3,21,6,46,15,3,7,3,8,6,9,0,8,8,4,2,1,1,4,1,0,20
1,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Lucas Mariano,28.2,16,6,31,11,0,3,6,8,4,6,2,1,3,0,1,0,3,4,4,1,15
2,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Enzo,25.1,13,4,24,8,3,6,1,2,2,2,1,2,3,2,0,0,3,2,0,0,8
3,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Larry Taylor,24.3,9,2,20,6,1,4,1,2,4,4,0,3,3,5,1,1,3,1,0,0,8
4,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Alex Garcia,28.9,6,2,17,6,1,3,1,3,1,2,0,4,4,1,8,0,2,5,1,0,8
5,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,G. Basílio,16.7,6,3,9,4,0,1,3,3,0,0,1,1,2,1,2,0,1,2,1,0,4
6,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Fúlvio,24.8,5,2,17,6,0,4,2,2,1,1,2,1,3,4,1,0,1,3,1,0,5
7,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Vinicius,8.0,4,0,10,2,0,0,0,2,4,6,0,1,1,0,0,0,3,3,1,0,5
8,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Cauê,11.8,3,1,10,4,1,2,0,2,0,0,0,1,1,1,0,0,1,0,0,0,4
9,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Pará,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Renato,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Bauru,São José,14/03/2019 20:00,19ª SEMANA,2º TURNO,fora,vitória,9,Equipe,200.0,83,26,184,62,9,30,17,32,22,30,7,23,30,18,15,2,18,24,10,1,77
