,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Duda,35.3,16,5,52,18,2,11,3,7,4,5,1,6,7,2,1,0,3,2,1,0,20
1,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Rafa,25.3,9,3,13,5,0,0,3,5,3,3,3,1,4,1,0,0,0,2,1,1,4
2,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Alexei Patrício,15.1,9,3,17,6,1,3,2,3,2,2,0,1,1,1,0,0,3,1,4,0,11
3,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Caio Torres,14.2,8,2,16,6,2,2,0,4,2,2,2,3,5,1,1,0,1,1,1,0,6
4,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Gabriel,14.9,8,3,19,7,1,4,2,3,1,1,0,4,4,2,1,0,2,3,0,0,7
5,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Lucão,19.9,7,3,14,6,0,0,3,6,1,2,2,3,5,0,0,0,2,2,1,1,6
6,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Lupa,19.8,5,1,17,5,0,1,1,4,3,6,4,1,5,1,2,0,1,4,2,0,5
7,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Gemerson,16.8,3,1,21,8,1,5,0,3,0,0,0,3,3,0,0,0,1,2,0,0,8
8,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Vithinho,24.8,2,1,21,8,0,5,1,3,0,0,2,2,4,4,0,0,1,0,4,0,10
9,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,L. Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Rafael,12.2,0,0,9,4,0,1,0,3,0,0,1,1,2,1,0,0,1,0,2,0,5
11,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Armani,1.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
12,2018,Vasco da Gama,Flamengo,16/03/2019 14:00,19ª SEMANA,2º TURNO,casa,derrota,-40,Equipe,200.0,67,22,199,73,7,32,15,41,16,21,20,27,47,14,5,0,17,17,17,2,78
0,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Marquinhos,24.2,25,9,37,13,6,9,3,4,1,2,0,3,3,6,1,0,1,2,3,0,17
1,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Nesbitt,23.6,19,5,21,6,4,4,1,2,5,5,2,4,6,3,2,0,3,2,0,0,6
2,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Deryk,21.3,14,4,17,5,4,5,0,0,2,2,0,0,0,2,2,0,0,1,2,0,8
3,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Varejão,20.2,13,4,25,9,0,1,4,8,5,6,4,9,13,2,0,1,2,3,1,0,8
4,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Olivinha,13.6,10,4,28,11,0,4,4,7,2,2,4,0,4,0,0,0,2,1,0,0,8
5,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Mineiro,16.8,10,5,15,7,0,1,5,6,0,0,1,6,7,2,1,0,1,0,0,0,6
6,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Crescenzi,15.2,7,3,21,8,1,5,2,3,0,0,1,2,3,0,0,0,1,0,2,0,9
7,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Balbi,17.3,5,2,13,5,1,3,1,2,0,0,0,1,1,7,2,0,4,2,2,0,7
8,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Jhonatan,21.2,2,1,24,9,0,5,1,4,0,1,1,3,4,2,1,0,2,1,0,0,8
9,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Ruan,3.7,2,1,4,2,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,2
10,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Aieser,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Davi,21.3,0,0,5,2,0,1,0,1,0,0,0,3,3,4,0,0,1,3,0,0,2
12,2018,Flamengo,Vasco da Gama,16/03/2019 14:00,19ª SEMANA,2º TURNO,fora,vitória,40,Equipe,200.0,107,38,210,77,16,38,22,39,15,18,13,34,47,28,10,1,18,15,10,0,81
