,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Fuller,34.8,24,9,48,18,4,9,5,9,2,3,0,1,1,1,1,0,1,6,0,0,19
1,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Parodi,30.9,21,9,41,17,1,5,8,12,2,2,1,1,2,8,5,0,3,3,4,0,21
2,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Teichmann,21.5,10,5,12,6,0,0,5,6,0,0,0,8,8,0,1,1,4,0,2,3,8
3,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Humberto,29.2,9,2,16,5,1,2,1,3,4,4,2,1,3,2,3,0,3,2,3,0,8
4,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Giovannoni,25.8,6,2,26,10,0,4,2,6,2,2,1,3,4,4,1,1,1,3,0,0,10
5,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Aguiar,15.1,5,2,13,5,1,3,1,2,0,0,0,1,1,1,0,0,1,0,1,0,6
6,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Douglas Santos,12.6,4,1,16,7,0,0,1,7,2,2,3,2,5,2,4,0,2,1,2,0,7
7,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Shilton,15.6,4,2,6,3,0,0,2,3,0,0,0,5,5,1,0,0,1,0,0,0,3
8,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Gustavinho,11.6,2,1,2,1,0,0,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0
9,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Abner,3.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
10,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Nicolas Ronsini,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,Corinthians,Vasco da Gama,24/03/2019 11:00,21ª SEMANA,2º TURNO,casa,vitória,13,Equipe,200.0,85,33,180,72,7,23,26,49,12,13,9,25,34,21,15,2,18,15,12,3,80
0,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Rafa,28.4,12,4,19,7,2,3,2,4,2,2,3,1,4,0,1,0,2,2,1,0,6
1,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Gemerson,24.5,11,4,31,12,1,5,3,7,2,2,0,11,11,1,0,0,2,3,1,0,14
2,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Vithinho,24.8,10,5,19,9,0,1,5,8,0,0,1,2,3,7,1,0,2,2,5,0,13
3,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Caio Torres,20.8,9,4,17,7,0,1,4,6,1,2,2,6,8,2,0,0,3,2,1,0,7
4,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Duda,39.9,8,2,28,9,2,8,0,1,2,2,0,3,3,11,0,0,2,2,7,0,17
5,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Lucão,10.1,6,2,10,4,0,0,2,4,2,2,1,0,1,1,0,0,0,1,0,1,4
6,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Alexei Patrício,13.3,5,1,14,4,0,3,1,1,3,3,0,1,1,1,1,0,2,2,1,0,6
7,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Lupa,20.2,4,2,10,4,0,0,2,4,0,2,3,5,8,0,1,0,2,2,1,0,3
8,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Rafael,9.5,4,2,6,3,0,0,2,3,0,0,0,0,0,0,1,0,1,0,1,0,4
9,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Gabriel,8.6,3,1,9,3,0,1,1,2,1,2,1,1,2,1,0,0,0,1,2,0,5
10,2018,Vasco da Gama,Corinthians,24/03/2019 11:00,21ª SEMANA,2º TURNO,fora,derrota,-13,Equipe,200.0,72,27,163,62,5,22,22,40,13,17,11,31,42,24,5,0,16,17,20,1,78
