,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Fuller,38.2,17,2,46,12,2,9,0,3,11,13,1,5,6,1,1,0,1,7,1,0,17
1,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Giovannoni,35.9,17,7,35,15,1,3,6,12,2,2,2,6,8,5,1,0,4,4,2,1,16
2,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Humberto,36.5,14,6,19,8,0,0,6,8,2,3,2,3,5,3,0,4,4,3,1,1,8
3,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Parodi,36.0,13,3,30,9,0,4,3,5,7,8,0,4,4,9,4,0,1,5,7,0,19
4,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Teichmann,28.5,11,4,19,6,0,0,4,6,3,7,1,7,8,3,5,1,3,5,1,1,9
5,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Abner,12.9,6,1,13,3,0,0,1,3,4,7,3,3,6,0,0,1,4,4,1,0,4
6,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Aguiar,4.8,3,1,8,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,4
7,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Shilton,3.6,2,1,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
8,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Anderson,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Douglas Santos,9.1,0,0,4,2,0,0,0,2,0,0,1,1,2,0,0,0,2,0,2,0,3
10,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Gustavinho,9.1,0,0,5,2,0,1,0,1,0,0,1,3,4,0,0,0,3,0,0,0,1
11,2018,Corinthians,Brasília,06/04/2019 19:30,3ª SEMANA,OITAVAS,casa,vitória,9,Gui Bento,10.5,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1
