,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Pedro Teruel,34.2,16,7,41,16,2,7,5,9,0,2,0,2,2,9,1,0,4,2,2,0,19
1,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Antonio,34.5,12,4,17,6,3,3,1,3,1,2,1,7,8,4,2,0,3,2,5,0,11
2,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Da Silva,27.2,11,3,24,8,0,3,3,5,5,5,1,3,4,0,3,0,3,5,2,2,11
3,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Shilton,35.9,9,4,18,8,0,0,4,8,1,2,2,7,9,2,1,0,2,2,2,0,9
4,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Nico,31.9,7,2,17,7,0,0,2,7,3,3,1,0,1,1,0,0,2,3,1,0,8
5,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Pedro,23.5,6,2,13,5,0,1,2,4,2,2,1,2,3,0,1,0,0,3,4,0,9
6,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Eugeniusz,9.6,2,1,8,4,0,0,1,4,0,0,1,1,2,0,1,0,1,0,1,0,4
7,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Adriano Big,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Dida,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Marco,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Rubinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,R. Stabile,3.2,0,0,8,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
12,2020,KTO Caxias do Sul,Bauru,27/01/2021 15:00,11ª RODADA,2º TURNO,casa,derrota,-8,Equipe,200.0,63,23,146,57,5,16,18,41,12,16,9,24,33,16,9,0,16,17,17,2,71
0,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Alexey Borges,34.4,16,6,26,10,3,4,3,6,1,2,0,4,4,2,2,0,2,1,6,0,17
1,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Alex Garcia,32.1,15,5,41,15,1,6,4,9,4,5,1,6,7,3,0,1,4,4,4,0,20
2,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Tyrone Curnell,38.2,15,6,27,10,3,7,3,3,0,0,1,4,5,1,0,2,3,4,2,0,11
3,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Gui Deodato,40.0,11,3,27,9,2,5,1,4,3,4,3,4,7,4,3,0,1,4,0,0,8
4,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Larry Taylor,23.7,7,3,17,7,1,3,2,4,0,0,0,1,1,3,3,0,0,0,0,0,7
5,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Diego,7.2,4,2,8,4,0,0,2,4,0,0,2,0,2,0,0,0,4,0,3,0,5
6,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Gabriel Jaú,16.3,2,1,2,1,0,0,1,1,0,0,0,4,4,3,1,1,3,1,1,0,2
7,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Dikembe,8.2,1,0,4,1,0,0,0,1,1,2,1,1,2,1,1,0,1,1,0,0,1
8,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Zach Graham,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Emanuel Matias,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Lukas Josuel,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,Bauru,KTO Caxias do Sul,27/01/2021 15:00,11ª RODADA,2º TURNO,fora,vitória,8,Equipe,200.0,71,26,152,57,10,25,16,32,9,13,8,25,33,17,10,4,18,15,16,0,70
