,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Gabriel,34.5,19,6,44,15,5,12,1,3,2,2,1,0,1,4,1,0,1,3,3,0,18
1,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,G. Basílio,22.7,16,6,33,12,3,7,3,5,1,2,0,1,1,1,4,0,4,1,0,0,13
2,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Buffat,24.0,13,5,20,8,3,4,2,4,0,0,1,5,6,1,0,1,3,2,0,0,7
3,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Teichmann,29.0,11,5,21,9,0,0,5,9,1,3,3,9,12,4,3,0,3,3,4,1,11
4,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Sena,15.5,9,4,21,8,1,4,3,4,0,1,1,2,3,2,0,0,0,4,2,0,9
5,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Humberto,35.0,6,2,25,9,0,5,2,4,2,2,1,1,2,4,0,0,1,3,3,0,12
6,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Munford,15.5,3,1,11,4,0,2,1,2,1,1,0,2,2,0,1,0,2,1,2,0,6
7,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,T. Faria,2.7,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,M. Douglas,7.7,0,0,4,2,0,0,0,2,0,0,1,1,2,0,0,1,0,1,0,0,1
9,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,W. Sena,4.9,0,0,2,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1
10,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,D. Souza,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Zubiaurre,5.5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,-1
12,2020,Pinheiros,Mogi das Cruzes,30/01/2021 19:00,11ª RODADA,2º TURNO,casa,derrota,-4,Equipe,200.0,77,29,184,69,12,35,17,34,7,11,12,24,36,18,9,2,16,19,15,1,76
0,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Coleman,36.9,23,9,49,18,3,10,6,8,2,3,1,1,2,3,1,0,3,8,2,1,20
1,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Gruber,22.7,13,5,33,12,2,6,3,6,1,3,1,8,9,4,0,4,0,2,0,0,12
2,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Fúlvio,28.5,11,4,26,9,3,8,1,1,0,0,1,2,3,8,0,0,4,1,6,0,14
3,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Wesley,29.9,11,4,17,7,1,1,3,6,2,2,1,8,9,1,2,0,2,2,2,0,9
4,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Douglas Santos,16.1,7,3,14,6,0,1,3,5,1,1,0,1,1,1,1,0,2,2,1,1,7
5,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Fabricio,20.7,6,2,12,4,1,3,1,1,1,1,0,5,5,3,0,0,2,1,1,0,5
6,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Lessa,28.8,6,3,14,6,0,2,3,4,0,0,1,1,2,4,3,0,5,0,1,0,6
7,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Kurtz,6.4,4,2,4,2,0,0,2,2,0,0,0,1,1,0,0,0,1,0,1,0,3
8,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Mogi,9.6,0,0,7,3,0,1,0,2,0,0,2,2,4,2,0,0,0,0,0,0,1
9,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Cassiano,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Colina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020,Mogi das Cruzes,Pinheiros,30/01/2021 19:00,11ª RODADA,2º TURNO,fora,vitória,4,Equipe,200.0,81,32,176,67,10,32,22,35,7,10,11,32,43,26,7,4,19,16,15,2,75
