,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Vezaro,21.8,15,5,24,8,3,6,2,2,2,2,0,4,4,2,1,1,3,3,0,0,9
1,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,João Vitor,23.1,15,5,31,12,0,0,5,12,5,7,2,1,3,1,0,4,3,5,3,1,16
2,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Betinho,25.0,13,5,29,12,3,5,2,7,0,0,0,4,4,3,2,0,1,3,2,0,14
3,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Rafa,28.2,12,4,22,8,2,4,2,4,2,2,2,5,7,3,3,0,1,2,0,0,7
4,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Sahdi,16.1,8,2,19,6,2,5,0,1,2,2,0,0,0,4,0,0,2,3,3,0,10
5,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Pastor,12.2,8,2,17,5,0,2,2,3,4,5,2,1,3,0,1,0,3,4,0,0,5
6,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Barnes,16.9,8,3,11,4,2,3,1,1,0,0,0,2,2,0,0,0,3,0,0,0,4
7,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Nehemias,16.3,6,2,19,7,1,3,1,4,1,2,0,1,1,0,0,1,3,1,2,0,10
8,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Alexandrino,16.5,3,1,6,2,0,0,1,2,1,2,3,2,5,2,1,0,2,1,0,0,0
9,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Pecos,23.6,0,0,7,3,0,1,0,2,0,0,0,6,6,7,1,0,2,0,2,0,5
10,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Gemadinha,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2020,UNIFACISA,Mogi das Cruzes,28/02/2021 16:00,14ª RODADA,2º TURNO,casa,vitória,18,Equipe,200.0,88,29,185,67,13,29,16,38,17,22,14,29,43,22,9,6,23,22,14,1,76
0,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Gruber,23.8,15,5,32,12,3,6,2,6,2,2,2,0,2,0,2,0,2,2,0,0,11
1,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Coleman,25.3,11,3,29,10,1,5,2,5,4,4,0,3,3,1,2,0,4,3,2,0,14
2,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Fúlvio,23.4,10,2,16,4,2,3,0,1,4,5,0,0,0,5,2,0,2,5,7,0,13
3,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Wesley,23.3,9,4,28,12,0,2,4,10,1,2,5,1,6,1,2,2,4,3,1,0,9
4,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Douglas Santos,20.4,8,4,16,8,0,0,4,8,0,0,2,5,7,1,0,2,4,2,2,3,8
5,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Mogi,22.1,4,1,8,3,0,0,1,3,2,2,1,4,5,1,0,0,0,1,0,0,3
6,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Kurtz,10.9,4,2,10,4,0,0,2,4,0,2,0,3,3,1,0,0,1,2,0,1,5
7,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Lessa,20.1,4,2,7,3,0,1,2,2,0,0,0,3,3,2,1,0,0,0,1,0,4
8,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Fabricio,17.4,3,1,13,4,0,3,1,1,1,2,1,0,1,4,0,0,3,3,2,0,6
9,2020,Mogi das Cruzes,UNIFACISA,28/02/2021 16:00,14ª RODADA,2º TURNO,fora,derrota,-18,Cassiano,11.7,2,0,11,3,0,3,0,0,2,2,1,2,3,3,0,0,1,1,1,0,4
