,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Coleman,30.0,13,5,48,19,3,10,2,9,0,0,2,3,5,3,1,0,4,0,3,0,20
1,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Wesley,28.7,12,5,35,14,1,4,4,10,1,3,3,4,7,0,1,0,2,4,0,0,12
2,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Douglas Santos,26.8,9,3,23,9,0,1,3,8,3,4,2,3,5,1,1,1,1,3,0,2,9
3,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Fúlvio,33.3,8,3,20,7,1,4,2,3,1,2,0,6,6,5,2,0,0,2,3,0,11
4,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Lessa,20.0,8,4,8,4,0,0,4,4,0,0,0,0,0,1,1,0,3,2,0,0,4
5,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Fabricio,25.5,7,3,27,11,1,5,2,6,0,0,2,4,6,2,0,0,2,2,0,0,9
6,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Gruber,17.2,5,1,17,6,0,1,1,5,3,4,1,1,2,1,0,0,2,3,2,0,9
7,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Mogi,10.6,0,0,4,2,0,0,0,2,0,0,0,1,1,4,1,0,0,2,0,0,2
8,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Cassiano,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
9,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Kurtz,5.6,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,2
10,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Felipe,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Colina,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020,Mogi das Cruzes,Paulistano,09/03/2021 20:00,16ª RODADA,2º TURNO,casa,derrota,-7,Equipe,200.0,62,24,184,73,6,25,18,48,8,13,16,28,44,17,7,1,15,18,10,2,72
0,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Ruivo,34.5,15,4,24,7,4,6,0,1,3,4,0,6,6,6,1,0,2,5,3,0,12
1,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Du Sommer,29.8,15,6,28,11,2,5,4,6,1,1,1,4,5,1,1,2,3,4,2,0,12
2,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Vitão,17.6,9,3,23,8,3,7,0,1,0,0,2,0,2,2,0,0,3,1,0,0,6
3,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Maique,22.7,9,3,21,7,0,2,3,5,3,5,1,7,8,1,1,0,4,2,2,1,10
4,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Deryk,23.9,7,3,27,10,1,7,2,3,0,0,1,2,3,5,0,0,1,0,2,0,11
5,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Thomas,29.9,6,3,30,13,0,4,3,9,0,0,2,6,8,3,1,1,2,2,3,1,14
6,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Jimmy,26.8,3,1,16,6,1,4,0,2,0,0,0,5,5,2,0,0,1,1,0,0,6
7,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Jonatan,5.7,3,1,8,3,1,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,3
8,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Ianguas,2.8,2,1,2,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0
9,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Buiú,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Doria,6.4,0,0,8,3,0,2,0,1,0,0,3,1,4,0,0,0,1,0,0,0,0
11,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Beto,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2020,Paulistano,Mogi das Cruzes,09/03/2021 20:00,16ª RODADA,2º TURNO,fora,vitória,7,Equipe,200.0,69,25,187,69,12,39,13,30,7,10,16,33,49,20,4,3,18,15,15,2,72
